Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
AFD,"France,AFD",2015,2015,8299,3151/401-2/466-7/8299-300,42334-014,,,CAM,Rural Roads Improvement IIﾗAdditional Financing,SERD,SETC,12/08/2015,,,,,0,,40,,40,DVA,FW,Partial Administration,Bilateral,Loan,,3700,Transport,,,,,,No,,12/08/2015,,,,,Sovereign,,,,,
0,0,0,400,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"AIF,AFD,KfW,World Bank",2015,2015,8293,3303/8293,49043-001,,,INO,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,400,,,,400,,,,,,,,,,,3200,Energy,3215,Energy Sector Development and Institutional Reform,,,,,,,,,,,,,,,,
60,0,0,60,0,46,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"AsIF,AFD,UFPF-UCCRTF",2015,2015,455,3316/0455,47127-002,,,MYA,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,,60,,,60,,,,,,,,,,,3800,Water and Other Urban Infrastructure and Services,"3814, 3817, 3821, 3812","Urban Water Supply,Urban Sanitation,Urban Slam Development,Other Urban Services",,,,,,,,,,,,,,,,
AFD,"France,AFD",2015,2015,,3316/0455,47127-002,,,MYA,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,,,,,0,,46,,46,DVA,FW,Collaborative,Bilateral,Loan,,3800,Water and Other Urban Infrastructure and Services,"3814, 3817, 3821, 3812",Urban Water Supply,,,,No,,11/12/2015,,,,Approved,Sovereign,,,,,
5.8,0,0,64.8,0,75.9,0,75.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"CTF,EIB,AFD,DGT",2015,2015,8302,3363/3364/8302,40080-025,,,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,59,5.8,,,64.8,,,,,,,,,,,3700,Transport,,,,,,,,,,,,,,,,,,
AFD,"France,AFD",2015,2015,3363/3364,3363/3364/8302,40080-025,,,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,,,,,0,,75.9,,75.9,DVA,FW,Collaborative,Bilateral,Loan,,3700,Transport,,,,,,No,,12/10/2015,,,,Approved,Sovereign,,,,,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"France,AFD",2016,2016,,8305,46064-003,,,CAM,Technical and Vocational Education and Training Sector Development ProgramﾗAdditional Financing,SERD,SEHS,02/29/2016,,,,,0,,,,,,,,,,,3100,Education,"3105, 3113","Technical and Vocational Education and Training,Education Sector Development",,,,,,,,,,,,,,,,
,,,,,,,,,,,1451.7,137,0,0,1588.7,0,320,0,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,224,0,25,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,AIF,2013,2013,8276,3083/8276,42362-013,,,INO,Java-Bali 500-Kilovolt Power Transmission Crossing,SERD,SEEN,12/03/2013,224,,,,224,,,,,,,,,,,3200,Energy,3211,Electricity Transmission and Distribution,,,Sustainable Economic Growth,,,,,,,,,,,,,
AIF,AIF,2013,2013,8276,3083/8276,42362-013,,,INO,Java-Bali 500-Kilovolt Power Transmission Crossing,SERD,SEEN,12/03/2013,,,,,0,,25,,25,DVA,PS,Full Administration,Multilateral,Loan,,3200,Energy,,Electricity Transmission and Distribution,,,,No,,12/03/2013,,,,,Sovereign,,,,first approval from the ASEAN Infrastructure Fund,
