Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
OFID,OFID,1985,1985,,759,17032,,,PAK,Science Education for Secondary Schools Sector,CWRD,,11/28/1985,,,,,0,,5,,5,DVA,,Partial Administration,Multilateral,Loan,ADF,3100,Education,,,,,,,,11/28/1985,09/09/1986,,01/26/1995,,Sovereign,GS,,,,
0,0,0,11.11,0,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,1986,1986,,787,16148,,,THA,Brackishwater Shrimp Culture Development,SERD,SEAE,09/11/1986,11.11,0,0,,11.11,,,,,,,,,,OCR,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
OFID,OFID,1986,1986,,787,16148,,,THA,Brackishwater Shrimp Culture Development,SERD,SEAE,09/11/1986,,,,,0,,4,,4,DVA,,Partial Administration,Multilateral,Loan,OCR,3000,Agriculture and Natural Resources,,,,,,,,09/11/1986,04/10/1987,,11/08/1993,,Sovereign,,,,,
30,0,0,30,0,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,1986,1986,,806,16156,,,NEP,Road Improvement,SARD,,12/02/1986,0,30,0,,30,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,GS,,,,
OFID,OFID,1986,1986,,806,16156,,,NEP,Road Improvement,SARD,,12/02/1986,,,,,0,,4,,4,DVA,,Partial Administration,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,12/02/1986,05/15/1987,,04/18/1996,,Sovereign,GS,,,,
15.86,0,0,15.86,0,6.5,0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,1988,1988,,884,15073,,,PHI,Agricultural Technology Education,SERD,,03/08/1988,0,15.86,0,,15.86,,,,,,,,,,ADF,3100,Education,,,,,Inclusive Social and Gender Development,,,,,,,,,GS,,,,
OFID,OFID,1988,1988,,884,15073,,,PHI,Agricultural Technology Education,SERD,,03/08/1988,,,,,0,,6.5,,6.5,DVA,,Partial Administration,Multilateral,Loan,ADF,3100,Education,,,,,,,,03/08/1988,08/05/1988,,04/12/1996,,Sovereign,GS,,,,
0,0,0,50,0,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"OFID,UNDP",1988,1988,,902,20221,,,PAK,Small-Scale Industry,CWRD,,09/22/1988,50,0,0,,50,,,,,,,,,,OCR,3500,Industry and Trade,,,,,Private Sector Development,,,,,,,,,GS,,,,
OFID,OFID,1988,1988,,902,20221,,,PAK,Small-Scale Industry,CWRD,,09/22/1988,,,,,0,,8,,8,DVA,,Partial Administration,Multilateral,Loan,OCR,3500,Industry and Trade,,,,,,,,09/22/1988,05/09/1989,,09/28/1995,,Sovereign,GS,,,,
6.72,0,0,6.72,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"OFID,UNCDF",1988,1988,,911,20069,,,MLD,Male Port Development,SARD,,10/20/1988,0,6.72,0,,6.72,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
OFID,OFID,1988,1988,,911,20069,,,MLD,Male Port Development,SARD,,10/20/1988,,,,,0,,2,,2,DVA,,Partial Administration,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,10/20/1988,11/30/1989,,04/14/1994,,Sovereign,,,,,
12.58,0,0,12.58,0,2.5,0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Switzerland,OFID",1989,1989,,974,16142,,,NEP,Technical Education and Vocational Training Development,SARD,,09/28/1989,0,12.58,0,,12.58,,,,,,,,,,ADF,3100,Education,,,,,Inclusive Social and Gender Development,,,,,,,,,GS,,,,
OFID,OFID,1989,1989,,974,16142,,,NEP,Technical Education and Vocational Training Development,SARD,,09/28/1989,,,,,0,,2.5,,2.5,DVA,,Partial Administration,Multilateral,Loan,ADF,3100,Education,,,,,,,,09/28/1989,02/26/1990,,03/23/1998,,Sovereign,GS,,,,
15,0,0,15,0,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"France,Japan,Norway,Thailand,NDF,OFID",1993,1993,,1266,26366,,,LAO,Airports Improvement,SERD,SEID,11/18/1993,0,15,0,,15,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,S,,,,
OFID,OFID,1993,1993,,1266,26366,,,LAO,Airports Improvement,SERD,SEID,11/18/1993,,,,,0,,8,,8,DVA,,Partial Administration,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,11/18/1993,06/18/1994,,01/18/2002,,Sovereign,S,,,,
0,0,0,164,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Korea,OFID",1993,1993,,1288,27231,,,PHI,Power Transmission,SERD,SEID,12/14/1993,164,0,0,,164,,,,,,,,,,OCR,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,S,,,,
OFID,OFID,1993,1993,,1288,27231,,,PHI,Power Transmission,SERD,SEID,12/14/1993,,,,,0,,6,,6,DVA,,Partial Administration,Multilateral,Loan,OCR,3200,Energy,,,,,,,,12/14/1993,09/06/1994,,04/23/2001,,Sovereign,S,,,,
37.1,0,0,37.1,0,16,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,1996,1996,,1454,27180,,,PAK,Second Girls Primary School Sector,CWRD,,08/15/1996,0,37.1,0,,37.1,,,,,,,,,,ADF,3100,Education,,Basic education,,,Inclusive Social and Gender Development,,,,,,,,,S,,,,
OFID,OFID,1996,1996,,1454,27180,,,PAK,Second Girls Primary School Sector,CWRD,,08/15/1996,,,,,0,,16,,16,DVA,,Partial Administration,Multilateral,Loan,ADF,3100,Education,,,,,,,,08/15/1996,01/19/1998,,07/17/2007,,Sovereign,S,,,,
16.92,0,0,16.92,0,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Norway,OFID",1996,1996,,1468,27400,,,CAM,Phnom Penh Water Supply and Drainage,SERD,SESS,09/26/1996,0,16.92,0,,16.92,,,,,,,,,,ADF,3800,Water and Other Municipal Infrastructure and Services,,,,,Inclusive Social and Gender Development,,,,,,,,,HS,,,,
OFID,OFID,1996,1996,,1468,27400,,,CAM,Phnom Penh Water Supply and Drainage,SERD,SESS,09/26/1996,,,,,0,,4,,4,DVA,,Partial Administration,Multilateral,Loan,ADF,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,09/26/1996,09/08/1997,,10/07/2003,,Sovereign,HS,,,,
0,0,0,167,0,10,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Japan,U.K.,Kuwait,OFID",1996,1996,,1473,23233,,,PHI,Sixth Road,SERD,,09/30/1996,167,0,0,,167,,,,,,,,,,OCR,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,Succesful,,,from 148.58 to 167 partial cancellation of 18.42 on 26 Feb 2007,
OFID,OFID,1996,1996,,1473,23233,,,PHI,Sixth Road,SERD,,09/30/1996,,,,,0,,10,,10,DVA,,Partial Administration,Multilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,09/30/1996,12/24/1997,,02/26/2007,,Sovereign,Succesful,,,,
13.01,0,0,13.01,0,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,1996,1996,,1488,28103,,,LAO,Community-Managed Irrigation Sector,SERD,SEAE,11/21/1996,0,13.01,0,,13.01,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,S,,,,
OFID,OFID,1996,1996,,1488,28103,,,LAO,Community-Managed Irrigation Sector,SERD,SEAE,11/21/1996,,,,,0,,4,,4,DVA,,Partial Administration,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,11/21/1996,10/29/1997,,10/05/2004,,Sovereign,S,,,,
22.51,0,0,22.51,0,11,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,1997,1997,,1512,27125,,,NEP,Tribhuvan International Airport Improvement,SARD,,01/23/1997,0,22.51,0,,22.51,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,PS,,,,
OFID,OFID,1997,1997,,1512,27125,,,NEP,Tribhuvan International Airport Improvement,SARD,,01/23/1997,,,,,0,,11,,11,DVA,,Partial Administration,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,01/23/1997,07/25/1997,,10/07/2002,,Sovereign,PS,,,,
45.55,0,0,45.55,0,4.38,0,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,1997,1997,,1533,27511,,,LAO,Xieng Khuoang Road Improvement,SERD,SERD,09/09/1997,0,45.55,0,,45.55,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,S,,,,
OFID,OFID,1997,1997,,1533,27511,,,LAO,Xieng Khuoang Road Improvement,SERD,SERD,09/09/1997,,,,,0,,4.38,,4.38,DVA,,Partial Administration,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,09/09/1997,02/17/1998,,04/28/2006,,Sovereign,S,,,,
19,0,0,19,0,6.5,0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,1997,1997,,1535,27038,,,SRI,Science and Technology Personnel Development,SARD,,09/11/1997,0,19,0,,19,,,,,,,,,,ADF,3100,Education,,,,,Inclusive Social and Gender Development,,,,,,,,,S,,,,
OFID,OFID,1997,1997,,1535,27038,,,SRI,Science and Technology Personnel Development,SARD,,09/11/1997,,,,,0,,6.5,,6.5,DVA,,Partial Administration,Multilateral,Loan,ADF,3100,Education,,,,,,,,09/11/1997,06/21/1998,,09/22/2005,,Sovereign,S,,,,
11.88,0,0,11.88,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,1997,1997,,1555,28441,,,KGZ,Education Sector Development Project,CWRD,,09/29/1997,0,11.88,0,,11.88,,,,,,,,,,ADF,3100,Education,,,,,Inclusive Social and Gender Development,,,,,,,,,S,,,,
OFID,OFID,1997,1997,,1555,28441,,,KGZ,Education Sector Development Project,CWRD,,09/29/1997,,,,,0,,5,,5,DVA,PS,Partial Administration,Multilateral,Loan,ADF,3100,Education,,,,,,,,09/29/1997,03/20/1998,,10/07/2004,,Sovereign,S,,,,
105.94,0,0,105.94,0,15,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"France,Spain,OFID",1997,1997,,1561,26451,,,BAN,Jamuna Bridge Railway Link,SARD,SATC,10/02/1997,0,105.94,0,,105.94,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,S,,,,
OFID,OFID,1997,1997,,1561,26451,,,BAN,Jamuna Bridge Railway Link,SARD,SATC,10/02/1997,,,,,0,,15,,15,DVA,,Partial Administration,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,10/02/1997,03/06/1998,,12/18/2003,,Sovereign,S,,,,
9.92,0,0,9.92,0,3.58,0,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,1998,1998,,1645,29660,,,KGZ,Social Services Delivery & Finance,CWRD,CWRD,11/27/1998,0,9.92,0,,9.92,,,,,,,,,,ADF,3900,Multisector,3900,Multisector,,,,,,,,,,,,S,,,,
OFID,OFID,1998,1998,,1645,29660,,,KGZ,Social Services Delivery & Finance,CWRD,CWRD,11/27/1998,,,,,0,,3.58,,3.58,DVA,,Partial Administration,Multilateral,Loan,ADF,3900,Multisector,3900,,,,,,,11/27/1998,07/28/1999,,07/01/2005,,Sovereign,S,,,,
68,0,0,68,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,OFID",1999,1999,,1697/3398(L),28338,,,CAM,Primary Roads Restoration,SERD,SETC,09/21/1999,0,68,0,,68,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,S,,,,
OFID,OFID,1999,1999,1697 (PL),1697/3398(L),28338,,,CAM,Primary Roads Restoration,SERD,SETC,09/21/1999,,,,,0,,6,,6,DVA,,Partial Administration,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,09/21/1999,06/30/2000,,08/04/2006,,Sovereign,S,,,,
18.8,0,0,18.8,0,7.43,0,7.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"NDF,OFID",1999,1999,,1707,31283,,,SRI,Skills Development,SARD,SASS,10/28/1999,0,18.8,0,,18.8,,,,,,,,,,ADF,3100,Education,,,,,,,,,,,,,,Succesful,,,,
OFID,OFID,1999,1999,,1707,31283,,,SRI,Skills Development,SARD,SASS,10/28/1999,,,,,0,,7.43,,7.43,DVA,,Partial Administration,Multilateral,Loan,ADF,3100,Education,,,,,,,,10/28/1999,03/21/2000,,07/23/2007,,Sovereign,Succesful,,,,
89,0,0,89,0,15,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"OFID,NDF",1999,1999,,1708,30022,,,BAN,Southwest Road Network Development,SARD,,11/16/1999,0,89,0,,89,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,Succesful,Successful,,,
OFID,OFID,1999,1999,,1708,30022,,,BAN,Southwest Road Network Development,SARD,,11/16/1999,,,,,0,,15,,15,DVA,,Partial Administration,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,11/16/1999,03/02/2000,,09/27/2006,,Sovereign,Succesful,Successful,,,
50,0,0,50,0,10,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,1999,1999,,1732/8199,29471,,,NEP,"Rural Electrification, Distribution and Transmission",SARD,,12/17/1999,0,50,0,,50,,,,,,,,,,ADF,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,Succesful,,,,
OFID,OFID,1999,1999,8199,1732/8199,29471,,,NEP,"Rural Electrification, Distribution and Transmission",SARD,,12/21/1999,,,,,0,,10,,10,DVA,,Partial Administration,Multilateral,Loan,ADF,3200,Energy,,,,,,,,12/21/1999,03/14/2002,,12/19/2008,,Sovereign,Succesful,,,,
0,0,0,25,0,7,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"NDF,OFID",2000,2000,,1750,23229,,,PHI,Technical Education and Skills Development,SERD,,08/24/2000,25,0,0,,25,,,,,,,,,,OCR,3100,Education,,,,,Inclusive Social and Gender Development,,,,,,,,,Succesful,,,,
OFID,OFID,2000,2000,,1750,23229,,,PHI,Technical Education and Skills Development,SERD,,08/24/2000,,,,,0,,7,,7,DVA,,Partial Administration,Multilateral,Loan,OCR,3100,Education,,,,,,,,08/24/2000,01/09/2001,,06/30/2009,,Sovereign,Succesful,,,,
0,0,0,70,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2000,2000,,1773,30506,,,UZB,Railways Modernization,CWRD,,10/31/2000,70,0,0,,70,,,,,,,,,,OCR,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,Succesful,,,,
OFID,OFID,2000,2000,,1773,30506,,,UZB,Railways Modernization,CWRD,,10/31/2000,,,,,0,,5,,5,DVA,,Partial Administration,Multilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,10/31/2000,09/21/2001,,03/30/2007,,Sovereign,Succesful,,,,
25,0,0,25,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2000,2000,,1795,30255,,,LAO,Rural Access Roads,SERD,SEID,12/07/2000,0,25,0,,25,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,Succesful,,,,
OFID,OFID,2000,2000,,1795,30255,,,LAO,Rural Access Roads,SERD,SEID,12/07/2000,,,,,0,,5,,5,DVA,,Partial Administration,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,12/07/2000,05/16/2001,,04/09/2008,,Sovereign,Succesful,,,,
20,0,0,20,0,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2000,2000,,1819,32514,,,TAJ,Road Rehabilitation,CWRD,CWID,12/20/2000,0,20,0,,20,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,Succesful,,,,
OFID,OFID,2000,2000,,1819,32514,,,TAJ,Road Rehabilitation,CWRD,CWID,12/20/2000,,,,,0,,4,,4,DVA,,Partial Administration,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,12/20/2000,08/07/2001,,03/21/2007,,Sovereign,Succesful,,,,
137,0,0,137,0,14,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Japan,OFID,NDF",2000,2000,,1820/8235,31624,,,NEP,Melamchi Water Supply,SARD,SASS,12/21/2000,0,137,0,,137,,,,,,,,,,ADF,3800,Water and Other Municipal Infrastructure and Services,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
OFID,OFID,2000,2000,,1820/8235,31624,,,NEP,Melamchi Water Supply,SARD,SASS,12/21/2000,,,,,0,,14,,14,DVA,,Partial Administration,Multilateral,Loan,ADF,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,12/21/2000,11/28/2001,,,,Sovereign,,,,,
25,0,0,25,0,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Germany,Netherlands,OFID",2001,2001,,1846/3742(L),34442,,,SRI,North East Community Restoration and Development,SARD,SAOC,10/16/2001,0,25,0,,25,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,HS,,,,
OFID,OFID,2001,2001,,1846/3742(L),34442,,,SRI,North East Community Restoration and Development,SARD,SAOC,10/16/2001,,,,,0,,4,,4,DVA,,Partial Administration,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,10/16/2001,01/09/2002,,01/23/2009,,Sovereign,HS,,,,
25,0,0,25,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2001,2001,,1849,31282,,,SRI,Southern Province Rural Economic Advancement,SARD,AWAR,10/26/2001,0,25,0,,25,,,,,,,,,,ADF,3900,Multisector,3900,Multisector,,,,,,,,,,,,Succesful,,,,
OFID,OFID,2001,2001,,1849,31282,,,SRI,Southern Province Rural Economic Advancement,SARD,AWAR,10/26/2001,,,,,0,,5,,5,DVA,,Partial Administration,Multilateral,Loan,ADF,3900,Multisector,3900,,,,,,,10/26/2001,12/12/2002,,08/05/2010,,Sovereign,Succesful,,,,
100,0,0,150,0,15,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2001,2001,,1892/1893/8202,32058,,,PAK,Road Sector Development Program,CWRD,,12/19/2001,50,100,0,,150,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,Partly successful,Partly successful,,,
OFID,OFID,2001,2001,,1892/1893/8202,32058,,,PAK,Road Sector Development Program,CWRD,,12/19/2001,,,,,0,,15,,15,DVA,,Partial Administration,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,12/19/2001,09/25/2002,,07/16/2010,,Sovereign,Partly successful,Partly successful,,,
65,0,0,65,0,10,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2002,2002,,1920/8204,32223,,,BAN,Road Network Improvement and Maintenance,SARD,IWTC,10/10/2002,0,65,0,,65,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
OFID,OFID,2002,2002,8204,1920/8204,32223,,,BAN,Road Network Improvement and Maintenance,SARD,IWTC,10/10/2002,,,,,0,,10,,10,DVA,,Partial Administration,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,10/10/2002,10/27/2003,,12/19/2011,,Sovereign,,,,,
50,0,0,50,0,10,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2002,2002,,1945,30240,,,CAM,GMS: Cambodia Road Improvement,SERD,SEID,11/26/2002,0,50,0,,50,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,Succesful,,,,"DR 2012. para in SERD section on Partnership Results, pp 23."
OFID,OFID,2002,2002,,1945,30240,,,CAM,GMS: Cambodia Road Improvement,SERD,SEID,11/26/2002,,,,,0,,10,,10,DVA,,Partial Administration,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,11/26/2002,05/20/2003,,09/15/2011,,Sovereign,Succesful,,,,"DR 2012. para in SERD section on Partnership Results, pp 23."
56.5,0,0,56.5,0,8.5,0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Japan,OFID",2002,2002,,1986/8206,31280,,,SRI,Road Sector Development,SARD,SAID,12/19/2002,0,56.5,0,,56.5,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,Succesful,Partly Successful,,,
OFID,OFID,2002,2002,8206,1986/8206,31280,,,SRI,Road Sector Development,SARD,SAID,12/19/2002,,,,,0,,8.5,,8.5,DVA,,Partial Administration,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,12/19/2002,05/22/2003,,05/14/2009,,Sovereign,Succesful,Partly Successful,,,
15,0,0,15,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2003,2003,,2062,34569,,,TAJ,Dushanbe-Kyrgyz Border Road Rehabilitaion (Phase I),CWRD,,12/18/2003,0,15,0,,15,,,,,,,,,,ADF,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,Highly Successful,Successful,,,"DR 2011. Case Study: Paving Roads to Reduce Poverty, pp 14."
OFID,OFID,2003,2003,,2062,34569,,,TAJ,Dushanbe-Kyrgyz Border Road Rehabilitaion (Phase I),CWRD,,12/18/2003,,,,,0,,6,,6,DVA,,Partial Administration,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,12/18/2003,04/15/2004,,04/21/2009,,Sovereign,Highly Successful,Successful,,,"DR 2011. Case Study: Paving Roads to Reduce Poverty, pp 14."
19,0,0,19,0,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2004,2004,,2079/8211,34121,,,PNG,Community Water Transport,PARD,PAHQ,03/25/2004,0,19,0,,19,,,,,,,,,,ADF,3700,Transport and ICT,,,,,,,,,,,,,,,,,,"DR 2012. para in PARD section on Partnership Results, pp 15."
OFID,OFID,2004,2004,8211,2079/8211,34121,,,PNG,Community Water Transport,PARD,PAHQ,03/25/2004,,,,,0,,4,,4,DVA,,Partial Administration,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,03/25/2004,11/23/2004,,,,Sovereign,,,,,"DR 2012. para in PARD section on Partnership Results, pp 15."
17.7,0,0,17.7,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"NDF,OFID",2004,2004,,2085/8217,30271,,,LAO,Roads for Rural Development,SERD,SEID,06/28/2004,0,17.7,0,,17.7,,,,,,,,,,ADF,3700,Transport and ICT,,,,,,,,,,,,,,,,,,
OFID,OFID,2004,2004,8217,2085/8217,30271,,,LAO,Roads for Rural Development,SERD,SEID,06/28/2004,,,,,0,,6,,6,DVA,,Partial Administration,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,06/28/2004,06/30/2005,,,,Sovereign,,,,,
20,0,0,20,0,7,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2004,2004,,2102,33209,,,NEP,Community-Managed Irrigated Agriculture Sector,SARD,SAAE,11/17/2004,0,20,0,,20,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,
OFID,OFID,2004,2004,,2102,33209,,,NEP,Community-Managed Irrigated Agriculture Sector,SARD,SAAE,11/17/2004,,,,,0,,7,,7,DVA,,Partial Administration,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,11/17/2004,01/13/2006,,,,Sovereign,,,,,
80,0,0,80,0,15,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2004,2004,,2117/8220,26427,,,BAN,Secondary Towns Integrated Flood Protection Phase 2,SARD,SASS,12/02/2004,0,80,0,,80,,,,,,,,,,ADF,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,,,,,,,,,,8220 approved on 16-Mar-2005,
OFID,OFID,2004,2004,8220,2117/8220,26427,,,BAN,Secondary Towns Integrated Flood Protection Phase 2,SARD,SASS,12/02/2004,,,,,0,,15,,15,DVA,,Partial Administration,Multilateral,Loan,ADF,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,12/02/2004,06/12/2005,,,,Sovereign,,,,8220 approved on 16-Mar-2005,
29.5,0.5,0,30,0,3.5,0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,OFID,2007,2007,,2196/0023,38236,,,TAJ,Dushanbe-Kyrgyz Border Road Rehabilitation Phase II,CWRD,,12/04/2007,0,29.5,0.5,,30,,,,,,,,,,ADF,3700,Transport and ICT,,,,,,,,,,,,,,,,,Loan approved in 17 Nov 2005 OFID app 4Dec07. ADB advised OFID on 13 Oct 2008 that administering the OFID loan would be difficult; suggested direct administration of loan.,
OFID,OFID,2007,2007,,2196/0023,38236,,,TAJ,Dushanbe-Kyrgyz Border Road Rehabilitation Phase II,CWRD,,12/04/2007,,,,,0,,3.5,,3.5,DVA,,Collaborative,Multilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,12/04/2007,03/13/2006,,11/16/2010,,Sovereign,,,,Loan approved in 17 Nov 2005 OFID app 4Dec07. ADB advised OFID on 13 Oct 2008 that administering the OFID loan would be difficult; suggested direct administration of loan.,
0,0,0,235,0,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
