partner,year,approval_numbers_cofin,approval_number,proj_no,loan_grant_title
EIB,2014,3139/0397/0398,0397,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
EIB,2014,3139/0397/0398,0398,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
EIB,2014,3169/3170,3169,46168-001,South Asia Subregional Economic Cooperation Railway Connectivity: Akhaura-Laksam Double Track
EIB,2014,3169/3170,3170,46168-001,South Asia Subregional Economic Cooperation Railway Connectivity: Akhaura-Laksam Double Track
EIB,2014,3186,3186,46268-002,Clean Energy Finance Investment Program ﾖ Tranche 1 
France,2014,3029/3030/8282,3029,45148-007,Greater Colombo Water and Wastewater Management Improvement Investment Program ﾖ Tranche 2
France,2014,3029/3030/8282,3030,45148-007,Greater Colombo Water and Wastewater Management Improvement Investment Program ﾖ Tranche 2
France,2014,3029/3030/8282,8282,45148-007,Greater Colombo Water and Wastewater Management Improvement Investment Program ﾖ Tranche 2
France,2014,3111,3111,44253-013,Local Government Finance and Fiscal Decentralization Reform Program ﾖ  Subprogram 1
"France,AFD",2014,3146/3147/0084/8290,3146,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
"France,AFD",2014,3146/3147/0084/8290,3147,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
"France,AFD",2014,3146/3147/0084/8290,0084,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
"France,AFD",2014,3146/3147/0084/8290,8290,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
GDCF,2014,9135/0277/0382/0406,9135,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
GDCF,2014,9135/0277/0382/0406,0277,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
GDCF,2014,9135/0277/0382/0406,0382,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
GDCF,2014,9135/0277/0382/0406,0406,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
GEF,2014,2915/0388,2915,44007-013,Jiangxi Fuzhou Urban Integrated Infrastructure Improvement ﾖ Additional Financing
GEF,2014,2915/0388,0388,44007-013,Jiangxi Fuzhou Urban Integrated Infrastructure Improvement ﾖ Additional Financing
GEF,2014,3216/0420,3216,45022-002,Jiangxi Ji'an Sustainable Urban Transport
GEF,2014,3216/0420,0420,45022-002,Jiangxi Ji'an Sustainable Urban Transport
Germany,2014,3164,3164,48134-001,Stepping Up Investments for Growth Acceleration Program ﾖ Subprogram 1
"Germany,Germany",2014,3119/3120,3119,42251-018,Skills Sector Enhancement Program
"Germany,Germany",2014,3119/3120,3120,42251-018,Skills Sector Enhancement Program
IFAD,2014,3198,3198,47300-002,Northern Smallholder Livestock Commercialization
IFAD,2014,3198,3198,47300-002,Northern Smallholder Livestock Commercialization
IsDB,2014,0409/0410/0429,0409,46122-003,Preparing Outer Islands for Sustainable Energy Development
IsDB,2014,0409/0410/0429,0410,46122-003,Preparing Outer Islands for Sustainable Energy Development
IsDB,2014,0409/0410/0429,0429,46122-003,Preparing Outer Islands for Sustainable Energy Development
IsDB,2014,3090/3091/3092,3090,47094-001,Jamshoro Power Generation (Supplementary)
IsDB,2014,3090/3091/3092,3091,47094-001,Jamshoro Power Generation (Supplementary)
IsDB,2014,3090/3091/3092,3092,47094-001,Jamshoro Power Generation (Supplementary)
Japan,2014,3117/0383,3117,39399-034,South Asia Tourism Infrastructure Development ﾖ Additional Financing
Japan,2014,3117/0383,0383,39399-034,South Asia Tourism Infrastructure Development ﾖ Additional Financing
Japan,2014,9177,9177,47187-001,Pro-Poor Community Infrastructure and Basic Services
"Japan,JFPR",2014,9178,9178,46009-002,Community-Based Disaster Risk Reduction
"Japan,JFPR",2014,9179,9179,46270-002,Community-Based Flood Risk Management and Disaster Response in the Chao Phraya Basin
"Japan,JICA",2014,3126,3126,47015-001,Sustainable Energy Sector Reform Program ﾖ Subprogram 1 (additional)
"Japan,JICA",2014,3227/3228,3227,47293-001,Improving Competitiveness Program
"Japan,JICA",2014,3227/3228,3228,47293-001,Improving Competitiveness Program
"Japan,JFPR",2014,9178,9178,46009-002,Community-Based Disaster Risk Reduction
"Japan,JFPR",2014,9179,9179,46270-002,Community-Based Flood Risk Management and Disaster Response in the Chao Phraya Basin
"Japan,JICA",2014,3126,3126,47015-001,Sustainable Energy Sector Reform Program ﾖ Subprogram 1 (additional)
"Japan,JICA",2014,3227/3228,3227,47293-001,Improving Competitiveness Program
"Japan,JICA",2014,3227/3228,3228,47293-001,Improving Competitiveness Program
Korea,2014,3119/3120,3119,42251-018,Skills Sector Enhancement Program
Korea,2014,3119/3120,3120,42251-018,Skills Sector Enhancement Program
Korea,2014,3151/401/402/466/467/8299/8300,3151,42334-014,Rural Roads Improvement II
Korea,2014,3151/401/402/466/467/8299/8300,0401,42334-014,Rural Roads Improvement II
Korea,2014,3151/401/402/466/467/8299/8300,0402,42334-014,Rural Roads Improvement II
Korea,2014,3151/401/402/466/467/8299/8300,0466,42334-014,Rural Roads Improvement II
Korea,2014,3151/401/402/466/467/8299/8300,0467,42334-014,Rural Roads Improvement II
Korea,2014,3151/401/402/466/467/8299/8300,8299,42334-014,Rural Roads Improvement II
Korea,2014,3151/401/402/466/467/8299/8300,8300,42334-014,Rural Roads Improvement II
MDTF-WFPF,2014,2795/0263/0387,2795,43072-013,South Tarawa Sanitation Improvement Sector ﾖ Additional Financing
MDTF-WFPF,2014,2795/0263/0387,0263,43072-013,South Tarawa Sanitation Improvement Sector ﾖ Additional Financing
MDTF-WFPF,2014,2795/0263/0387,0387,43072-013,South Tarawa Sanitation Improvement Sector ﾖ Additional Financing
NDF,2014,3151/401/402/466/467/8299/8300,3151,42334-014,Rural Roads Improvement II
NDF,2014,3151/401/402/466/467/8299/8300,0401,42334-014,Rural Roads Improvement II
NDF,2014,3151/401/402/466/467/8299/8300,0402,42334-014,Rural Roads Improvement II
NDF,2014,3151/401/402/466/467/8299/8300,0466,42334-014,Rural Roads Improvement II
NDF,2014,3151/401/402/466/467/8299/8300,0467,42334-014,Rural Roads Improvement II
NDF,2014,3151/401/402/466/467/8299/8300,8299,42334-014,Rural Roads Improvement II
NDF,2014,3151/401/402/466/467/8299/8300,8300,42334-014,Rural Roads Improvement II
Netherlands,2014,3138/0396,3138,44167-014,Flood and Riverbank Erosion Risk Management Investment Program ﾖ Project 1
Netherlands,2014,3138/0396,0396,44167-014,Flood and Riverbank Erosion Risk Management Investment Program ﾖ Project 1
New Zealand,2014,0127/0292/0293,0127,40263-033,Domestic Maritime Support (Sector) (Supplementary)
New Zealand,2014,0127/0292/0293,0292,40263-033,Domestic Maritime Support (Sector) (Supplementary)
New Zealand,2014,0127/0292/0293,0293,40263-033,Domestic Maritime Support (Sector) (Supplementary)
"New Zealand,New Zealand",2014,0389/0390,0389,48192-001,Cyclone Ian Recovery
"New Zealand,New Zealand",2014,0389/0390,0390,48192-001,Cyclone Ian Recovery
"New Zealand,New Zealand",2014,416,0416,47314-001,Strengthening Fiscal Stability Program
Norway,2014,3139/0397/0398,3139,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
Norway,2014,3139/0397/0398,0397,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
Norway,2014,3139/0397/0398,0398,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
OFID,2014,3124/8288,3124,33209-014,Community-Managed Irrigated Agriculture Sector ﾖ Additional Financing
OFID,2014,3124/8288,8288,33209-014,Community-Managed Irrigated Agriculture Sector ﾖ Additional Financing
OFID,2014,3142/8285,3142,39295-013,Third Urban Governance and Infrastructure Improvement (Sector)
OFID,2014,3142/8285,8285,39295-013,Third Urban Governance and Infrastructure Improvement (Sector)
OFID,2014,3157/0405/8304,3157,35173-013,Third Small Towns Water Supply and Sanitation Sector
OFID,2014,3157/0405/8304,0405,35173-013,Third Small Towns Water Supply and Sanitation Sector
OFID,2014,3157/0405/8304,8304,35173-013,Third Small Towns Water Supply and Sanitation Sector
"P.R.C.,SpDB",2014,3218,3218,47052-002,Low-Carbon District Heating Project in Hohhot in Inner Mongolia Autonomous Region
SCF-PPCR,2014,3133/0394/0395/8284,3133,44212-013,Coastal Towns Environmental Infrastructure
SCF-PPCR,2014,3133/0394/0395/8284,0394,44212-013,Coastal Towns Environmental Infrastructure
SCF-PPCR,2014,3133/0394/0395/8284,0395,44212-013,Coastal Towns Environmental Infrastructure
SCF-PPCR,2014,3133/0394/0395/8284,8284,44212-013,Coastal Towns Environmental Infrastructure
SCF-PPCR,2014,3133/0394/0395/8284,3133,44212-013,Coastal Towns Environmental Infrastructure
SCF-PPCR,2014,3133/0394/0395/8284,0394,44212-013,Coastal Towns Environmental Infrastructure
SCF-PPCR,2014,3133/0394/0395/8284,0395,44212-013,Coastal Towns Environmental Infrastructure
SCF-PPCR,2014,3133/0394/0395/8284,8284,44212-013,Coastal Towns Environmental Infrastructure
SCF-PPCR,2014,3158/8287,3158,48901-014,Spice Value Chain Development Project
SCF-PPCR,2014,3158/8287,8287,48901-014,Spice Value Chain Development Project
SCF-SREP,2014,0409/0410/0429,0409,46122-003,Preparing Outer Islands for Sustainable Energy Development
SCF-SREP,2014,0409/0410/0429,0410,46122-003,Preparing Outer Islands for Sustainable Energy Development
SCF-SREP,2014,0409/0410/0429,0429,46122-003,Preparing Outer Islands for Sustainable Energy Development
SCF-SREP,2014,3139/0397/0398,3139,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
