,Year,Loan Grant No,DMC,Project Name,SF Source,OCR Loan,ADF Loan,ADF Grant,Other SF,Total,Cofinancier,Grant,Loan,Total.1,ADB Approval
303,2012,2288/2602/0187,CAM,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (2nd Supplementary),,0.0,0.0,0.0,0.0,0.0,Australia,0.96,0.0,0.96,12-Jan-2012
308,2012,9163/0288,PNG,Improved Energy Access for Rural Communities,,0.0,0.0,0.0,0.0,0.0,JFPR,2.5,0.0,5.0,19-Apr-2012
309,2012,9163/0288,PNG,Improved Energy Access for Rural Communities,,,,,,,New Zealand,2.5,0.0,,
311,2012,2867/0290,MLD,"Inclusive Micro, Small, and Medium-sized Enterprise Development",,0.0,5.57,4.45,0.0,10.02,IsDB,0.0,10.3,10.3,25-May-2012
313,2012,2957/0324-0325/8266,PHI,Integrated Natural Resources and Environmental Management,CCF,100.0,0.0,0.0,1.4,101.4,GEF,2.5,0.0,22.5,03-Dec-2012
314,2012,2957/0324-0325/8266,PHI,Integrated Natural Resources and Environmental Management,,,,,,,IFAD,0.0,20.0,,
315,2012,2838/0311,PRC,Jiangsu Yancheng Wetlands Protection - Additional Financing,,36.9,0.0,0.0,0.0,36.9,GEF,2.25,0.0,2.25,18-Sep-2012
317,2012,2964/0326/8261,PHI,Market Transformation through Introduction of Energy-Efficient Electric Vehicles,,300.0,0.0,0.0,0.0,300.0,CTF,5.0,100.0,105.0,11-Dec-2012
318,2012,2979/8264/0468,CAM,Medium-Voltage Sub-Transmission Expansion Sector,,0.0,45.0,0.0,0.0,45.0,OFID,0.0,10.0,10.0,14-Dec-2012
319,2012,2966/0320,BAN,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,,185.0,0.0,0.0,0.0,185.0,EIB,7.0,91.0,183.0,12-Dec-2012
320,2012,2966/0320,BAN,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,,,,,,,IsDB,0.0,85.0,,
323,2012,2875/7356/8256,THA,Provincial Solar Power,,0.0,0.0,0.0,0.0,0.0,CTF,0.0,15.0,15.0,25-Jun-2012
324,2012,0049/50,SOL,Road Improvement (Sector) (3rd Supplementary),,0.0,0.0,0.0,0.0,0.0,Australia,0.74,0.0,1.63,27-Nov-2012
325,2012,0049/50,SOL,Road Improvement (Sector) (3rd Supplementary),,,,,,,New Zealand,0.89,0.0,,
326,2012,0244/0291,AFG,Road Network Development Investment Program - Tranche 2,,0.0,0.0,310.0,0.0,310.0,AITF,30.0,0.0,30.0,29-May-2012
327,2012,2857/2858,TIM,Road Network Upgrading,,30.85,9.15,0.0,0.0,40.0,JICA,0.0,68.7,68.7,30-Mar-2012
328,2012,G0272/0289,NEP,School Sector Program (Supplementary),,0.0,0.0,0.0,0.0,0.0,Australia,3.47,0.0,3.47,28-Mar-2012
