Anchor Product,Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
9162,Asian Development Bank,Japan,2012,2012.0,,9162,45320-001,,,PHI,Promoting Partnerships and Innovation in Poor and Underserved Communities,SERD,SEHS,04/09/2012,,,,,0.0,,,,,,,,,,,3900.0,Multisector,3900,Multisector,,,,,,,,,,,,,,,,
9162,JFPR,Japan,2012,2012.0,9162,9162,45320-001,,,PHI,Promoting Partnerships and Innovation in Poor and Underserved Communities,SERD,SEHS,04/09/2012,,,,,0.0,1.5,,,1.5,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3900.0,Multisector,3900,Multisector,02/10/2012,,,No,,04/09/2012,,,,Approved,Sovereign,,,,,
9163,Asian Development Bank,"Japan,New Zealand",2012,2012.0,,9163/0288,41504-024,,,PNG,Improved Energy Access for Rural Communities,PARD,PATE,04/19/2012,,,,,0.0,,,,,,,,,,,3200.0,Energy,3201,Conventional Energy,,,,,,,,,,,,,,,,"DR 2012. para in PARD section on New Jint Initiatives, pp 16."
9163,Asian Development Bank,"Japan,New Zealand",2012,2012.0,,9163/0288,41504-024,,,PNG,Improved Energy Access for Rural Communities,PARD,PATE,04/19/2012,,,,,0.0,,,,,,,,,,,3200.0,Energy,3201,Conventional Energy,,,,,,,,,,,,,,,,"DR 2012. para in PARD section on New Jint Initiatives, pp 16."
9163,JFPR,Japan,2012,2012.0,9163,9163/0288,41504-024,,,PNG,Improved Energy Access for Rural Communities,PARD,PATE,04/19/2012,,,,,0.0,2.5,,,2.5,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3200.0,Energy,,Conventional Energy,,,,No,,04/19/2012,,,,,Sovereign,,,,,"DR 2012. para in PARD section on New Jint Initiatives, pp 16."
9163,New Zealand,New Zealand,2012,2012.0,288,9163/0288,41504-024,,,PNG,Improved Energy Access for Rural Communities,PARD,PATE,04/19/2012,,,,,0.0,2.5,,,2.5,DVA,PS,Full Administration,Bilateral,Grant,,3200.0,Energy,,Conventional Energy,08/29/2011,,,No,,04/19/2012,,,,,Sovereign,,,,,"DR 2012. para in PARD section on New Jint Initiatives, pp 16."
9164,Asian Development Bank,Japan,2012,2012.0,9164,9164,45145-001,,,MON,Establishment of Climate-Resilient Rural Livelihoods,EARD,EAER,06/08/2012,,,,,0.0,,,,,,,,,,,3000.0,Agriculture and Natural Resources,3012,Land-Based Natural Resources Management,,,Sustainable Economic Growth,,,,,,,,,,,,,
9164,JFPR,Japan,2012,2012.0,9164,9164,45145-001,,,MON,Establishment of Climate-Resilient Rural Livelihoods,EARD,EAER,06/08/2012,,,,,0.0,2.5,,,2.5,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000.0,Agriculture and Natural Resources,,Land-Based Natural Resources Management,,,,No,,06/08/2012,,,,Under Administration,Sovereign,,,,,
9165,Asian Development Bank,Japan,2012,2012.0,9165,9165,36222-013,,,AFG,Community-Based Irrigation Rehabilitation and Development,CWRD,CWER,07/06/2012,,,,,0.0,,,,,,,,,,,3000.0,Agriculture and Natural Resources,3011,"Irrigation, Drainage, and Flood Protection",,,Sustainable Economic Growth,,,,,,,,,,,,,"DR 2012. line in CWRD section on New Joint Initiatives, pp 10."
9165,JFPR,Japan,2012,2012.0,9165,9165,36222-013,,,AFG,Community-Based Irrigation Rehabilitation and Development,CWRD,CWER,07/06/2012,,,,,0.0,10.0,,,10.0,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000.0,Agriculture and Natural Resources,,"Irrigation, Drainage, and Flood Protection",05/30/2012,,,No,,07/06/2012,,,,,Sovereign,,,,,"DR 2012. line in CWRD section on New Joint Initiatives, pp 10."
