,Unnamed: 0,Year,TA No,DMC,Project Name,Type of TA,Type of Cofg,Type of Agreement,Sector,Source Type,Donor Type,Coft Amt,Source,Cofr Approval,ADB Approval,with empty
629,1537,2012,7987,REG,"Core Environment Program and Biodiversity Conservation Corridors Initiative in the Greater Mekong Subregion, Phase 2 (Supplementary)",R-CDTA,,PS,Agriculture and Natural Resources,Bilateral,Single Donor,"8,300.00",SWE,,05-Dec-2012,True
631,1539,2012,8018,REG,Establishing a Pilot Center to Facilitate Climate Technology Investment in Asia and the Pacific - Promotion of Investment in Climate Technology Products through Venture Capital Funds (Subproject 1) (Supplementary),R-PATA,,PS,Multisector,Global Fund,Multidonor,828.18,GEF-SCCF,03-Jul-2012,06-Jul-2012,True
632,1540,2012,8018,REG,Establishing a Pilot Center to Facilitate Climate Technology Investment in Asia and the Pacific - Promotion of Investment in Climate Technology Products through Venture Capital Funds (Subproject 1) (Supplementary),R-PATA,,PS,Multisector,Global Fund,Multidonor,"2,071.82",GEF,03-Jul-2012,06-Jul-2012,True
633,1541,2012,8049,REG,"Harmonization of Bond Standards and Market Practices in ASEAN+3: Support for ASEAN+3 Bond Market Forum, Phase 2",R-PATA,E,C,Finance,Bilateral,Single Donor,"1,200.00",ICFF,,13-Jan-2012,True
634,1542,2012,8050,NEP,Bagmati River Basin Improvement (Supplementary),PPTA,,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,470.00,MDTF-WFPF,29-Oct-2012,06-Nov-2012,True
637,1545,2012,8056,IND,Advanced Project Preparedness for Poverty Reduction - Gender Inclusive Capacity Development for Electricity Distribution Loss Reduction in Rural Madhya Pradesh (Subproject 23),CDTA,E,PS,Energy,Bilateral,Single Donor,600.00,UKG,,08-Mar-2012,True
639,1547,2012,8058,LAO,Hydropower Impacts and Best Practices: A Communications Project,S-CDTA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,180.00,CEF-CEFPF,,08-Feb-2012,True
641,1549,2012,8063,IND,Advanced Project Preparedness for Poverty Reduction - Capacity Building for the North Eastern State Roads Sector (Subproject 24),CDTA,E,PS,Transport and ICT,Bilateral,Single Donor,700.00,UKG,,23-Mar-2012,True
651,1559,2012,8085,BAN,Support for the Third Primary Education Development Project,CDTA,,PS,Education,Bilateral,Single Donor,700.00,SWE,02-Dec-2012,13-Dec-2012,True
653,1561,2012,8088,REG,"Enhancing Engagement with Pacific Developing Member Countries, Phase 2",R-CDTA,E,PS,Public Sector Management,Bilateral,Single Donor,"2,016.00",AUS,,31-May-2012,True
654,1562,2012,8089,IND,Operational Research to Support Mainstreaming of Integrated Flood Management under Climate Change,PATA,J,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,200.00,MDTF-WFPF,,01-Jun-2012,True
655,1563,2012,8089,IND,Operational Research to Support Mainstreaming of Integrated Flood Management under Climate Change,PATA,J,PS,Agriculture and Natural Resources,Bilateral,Single Donor,"1,250.00",UKG,,01-Jun-2012,True
659,1567,2012,8101,REG,Implementation of Sustainable Transport in Asia and the Pacific – Intelligent Transport Systems (ITS) for Better Urban Transport (Subproject 3),R-CDTA,E,C,Transport and ICT,Bilateral,Single Donor,300.00,EAKPF,,27-Jun-2012,True
660,1568,2012,8102,VIE,Promoting Climate Resilient Rural infrastructure in Northern Mountain Provinces,CDTA,,PS,Multisector,Global Fund,Multidonor,"2,000.00",GEF-SCCF,,29-Jun-2012,True
661,1569,2012,8105,REG,Establishing a Pilot Center to Facilitate Climate Technology Investments in Asia and the Pacific - Demonstration of an Assisted Broker Model for Transfer of Low-Carbon technologies to Asia and the Pacific (Subproject 2),R-CDTA,,C,Multisector,Bilateral,Single Donor,"2,000.00",ACEF,,15-Jun-2012,True
662,1570,2012,8105,REG,Establishing a Pilot Center to Facilitate Climate Technology Investments in Asia and the Pacific - Demonstration of an Assisted Broker Model for Transfer of Low-Carbon technologies to Asia and the Pacific (Subproject 2),R-CDTA,,PS,Multisector,Bilateral,Single Donor,200.00,BEL,,15-Jun-2012,True
663,1571,2012,8105,REG,Establishing a Pilot Center to Facilitate Climate Technology Investments in Asia and the Pacific - Demonstration of an Assisted Broker Model for Transfer of Low-Carbon technologies to Asia and the Pacific (Subproject 2),R-CDTA,,PS,Multisector,Global Fund,Multidonor,"2,400.00",GEF,,15-Jun-2012,True
668,1576,2012,8111,PHI,Climate Resilience and Green Growth in the Upper Marikina River ,CDTA,E,C,Multisector,Special Fund,ADB,450.00,CCF,,16-Jul-2012,True
669,1577,2012,8116,IND,Advanced Project Preparedness for Poverty Reduction - Detailed Design for the SASEC Subregional Road Connectivity (Subproject 25),PPTA,,PS,Transport and ICT,Bilateral,Single Donor,"1,000.00",UKG,,12-Jul-2012,True
