,Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications,Anchor Product
2016,JICA,"Japan,JICA",2014,2014.0,,3227/3228,47293-001,,,VIE,Improving Competitiveness Program,SERD,VRM,11/28/2014,,,,,0.0,,150.0,,150.0,DVA,PS,Collaborative,Bilateral,Loan,,3600.0,Public Sector Management,,Economic Affairs Management,,,,No,,11/28/2014,,,,,Sovereign,,,,,,3227
2018,JICA,"Japan,JICA",2016,2016.0,3260,3260,49215-001,,,NEP,Earthquake Emergency Assistance Project,SARD,NRM,03/11/2016,,,,,0.0,,115.3,,115.3,DVA,PS,Collaborative,Bilateral,Loan,,3100.0,Education,,,02/02/2016,,,Yes,,03/11/2016,,,,Approved,Sovereign,,,,JICA cofinancing amounts to 14 billion yen. The USD conversion of $115.3 was provided by SARD in their memo of 11 March 2016. ,,3260
2021,JICA,"Japan,JICA",2016,2016.0,,3321/3322,47015-002,,,PAK,Sustainable Energy Sector Reform Program - Subprogram 2 ,CWRD,CWEN,02/02/2016,,,,,0.0,,41.32,,41.32,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,Energy Sector Development and Institutional Reform,02/02/2016,,,Yes,,02/02/2016,,,,,Sovereign,,,,,,3321
2573,JBIC (non-ODA),Japan,1992,1992.0,,9999INO,,,,INO,Fourth Untied Loan (5 ADB Projects),SERD,,08/21/1992,,,,,0.0,,200.0,,200.0,DVA,,Collaborative,Bilateral,Loan,OCR,3900.0,Multisector,3900,Multisector,,,,,,08/21/1992,,,,,Sovereign,,,,,,9999INO
2576,JBIC (non-ODA),Japan,1988,1988.0,,9999INO2,,,,INO, Second Untied Loan (17 Bank Projects)  ,SERD,,08/09/1988,,,,,0.0,,576.0,,576.0,DVA,,Collaborative,Bilateral,Loan,OCR,3900.0,Multisector,3900,Multisector,,,,,,08/09/1988,,,,,Sovereign,,,,,,9999INO2
2579,JBIC (non-ODA),Japan,1989,1989.0,,9999INO3,,,,INO,Third Untied Loan (11 Bank Projects),SERD,,12/15/1989,,,,,0.0,,350.0,,350.0,DVA,,Collaborative,Bilateral,Loan,ADF,3900.0,Multisector,3900,Multisector,,,,,,12/15/1989,,,,,Sovereign,,,,,,9999INO3
2612,JICA,"Japan,JICA",2014,2014.0,3126 (CL),3126,47015-001,,,PAK,Sustainable Energy Sector Reform Program ﾖ Subprogram 1 (additional),CWRD,CWEN,06/04/2014,,,,,0.0,,49.0,,49.0,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,Energy Sector Development,06/04/2014,,,Yes,,06/04/2014,,,,,Sovereign,,,,,,3126
2616,JICA,"Japan,JICA",2014,2014.0,,3227/3228,47293-001,,,VIE,Improving Competitiveness Program,SERD,VRM,11/28/2014,,,,,0.0,,150.0,,150.0,DVA,PS,Collaborative,Bilateral,Loan,,3600.0,Public Sector Management,,Economic Affairs Management,,,,No,,11/28/2014,,,,,Sovereign,,,,,,3227
2619,JICA,"Japan,JICA",2016,2016.0,3260,3260,49215-001,,,NEP,Earthquake Emergency Assistance Project,SARD,NRM,03/11/2016,,,,,0.0,,115.3,,115.3,DVA,PS,Collaborative,Bilateral,Loan,,3100.0,Education,,,02/02/2016,,,Yes,,03/11/2016,,,,Approved,Sovereign,,,,JICA cofinancing amounts to 14 billion yen. The USD conversion of $115.3 was provided by SARD in their memo of 11 March 2016. ,,3260
2622,JICA,"Japan,JICA",2016,2016.0,,3321/3322,47015-002,,,PAK,Sustainable Energy Sector Reform Program - Subprogram 2 ,CWRD,CWEN,02/02/2016,,,,,0.0,,41.32,,41.32,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,Energy Sector Development and Institutional Reform,02/02/2016,,,Yes,,02/02/2016,,,,,Sovereign,,,,,,3321
