,Partner,Year,Approval Numbers CoFin,Extracted Approval Number,Proj No,Loan/Grant Title
428,EC,2011,G0272/0289,G0272,35174-082,School Sector Program
429,EC,2011,G0272/0289,0289,35174-082,School Sector Program
430,EC,2014,0414/0424/0443,0414,46455-004,Electricity Supply Security and Sustainability
431,EC,2014,0414/0424/0443,0424,46455-004,Electricity Supply Security and Sustainability
432,EC,2014,0414/0424/0443,0443,46455-004,Electricity Supply Security and Sustainability
433,EC,2014,0422/0423,0422,44482-025,Transport Network Development Investment Program ﾖ Tranche 4
434,EC,2014,0422/0423,0423,44482-025,Transport Network Development Investment Program ﾖ Tranche 4
435,EC,2014,3193/0415,3193,46453-002,Renewable Energy Sector
436,EC,2014,3193/0415,0415,46453-002,Renewable Energy Sector
437,EC,2015,0347/0348/0444/0445/0446,0347,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
438,EC,2015,0347/0348/0444/0445/0446,0348,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
439,EC,2015,0347/0348/0444/0445/0446,0444,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
440,EC,2015,0347/0348/0444/0445/0446,0445,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
441,EC,2015,0347/0348/0444/0445/0446,0446,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
442,EC,2015,0456/0457,0456,46044-003,Renewable Energy Development and Power Sector RehabilitationﾗAdditional Financing
443,EC,2015,0456/0457,0457,46044-003,Renewable Energy Development and Power Sector RehabilitationﾗAdditional Financing
444,EC,2015,3256,3256,42122-013,Third Primary Education DevelopmentﾗAdditional Financing
445,EDB,2013,3056/0366,3056,45169-001,"Central Asia Regional Economic Cooperation Corridor 3 (Bishkek-Osh Road) Improvement, Phase 4"
446,EDB,2013,3056/0366,0366,45169-001,"Central Asia Regional Economic Cooperation Corridor 3 (Bishkek-Osh Road) Improvement, Phase 4"
447,EDB,2014,3212/0419,3212,46348-003,Toktogul Rehabilitation Phase 2
448,EDB,2014,3212/0419,0419,46348-003,Toktogul Rehabilitation Phase 2
449,EDB,2015,2993,2993,42145-043,North-South Road Corridor Investment ProgramﾗTranche 3 ﾖ Additional Cofinancing
463,EIB,2011,2741,2741,40080-013,Ha Noi Metro Rail System (Line 3
464,EIB,2012,2956,2956,39500-033,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2
465,EIB,2012,2966/0320,2966,42378-015,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1
466,EIB,2012,2966/0320,0320,42378-015,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1
467,EIB,2012,2966/0320,2966,42378-015,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1
468,EIB,2012,2966/0320,0320,42378-015,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1
469,EIB,2013,2990/2991,2990,43281-013,Tanahu Hydropower
470,EIB,2013,2990/2991,2991,43281-013,Tanahu Hydropower
471,EIB,2013,2993,2993,42145-043,North-South Road Corridor Investment ProgramﾗTranche 3
472,EIB,2013,3051/8292,3051,42173-013,Dhaka Environmentally Sustainable Water Supply
473,EIB,2013,3051/8292,8292,42173-013,Dhaka Environmentally Sustainable Water Supply
474,EIB,2013,3098/3099/0380,3098,45007-004,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1
475,EIB,2013,3098/3099/0380,3099,45007-004,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1
476,EIB,2013,3098/3099/0380,0380,45007-004,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1
477,EIB,2014,0409/0410/0429,0409,46122-003,Preparing Outer Islands for Sustainable Energy Development
478,EIB,2014,0409/0410/0429,0410,46122-003,Preparing Outer Islands for Sustainable Energy Development
479,EIB,2014,0409/0410/0429,0429,46122-003,Preparing Outer Islands for Sustainable Energy Development
480,EIB,2014,2966/0320,2966,42378-015,Power System Expansion and Efficiency Improvement Investment Program ﾖ Tranche 1 (Supplementary)
481,EIB,2014,2966/0320,0320,42378-015,Power System Expansion and Efficiency Improvement Investment Program ﾖ Tranche 1 (Supplementary)
482,EIB,2014,2990/2991,2990,43281-013,Tanahu Hydropower
483,EIB,2014,2990/2991,2991,43281-013,Tanahu Hydropower
484,EIB,2014,3139/0397/0398,3139,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
485,EIB,2014,3139/0397/0398,0397,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
486,EIB,2014,3139/0397/0398,0398,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
487,EIB,2014,3169/3170,3169,46168-001,South Asia Subregional Economic Cooperation Railway Connectivity
488,EIB,2014,3169/3170,3170,46168-001,South Asia Subregional Economic Cooperation Railway Connectivity
489,EIB,2014,3186,3186,46268-002,Clean Energy Finance Investment Program ﾖ Tranche 1 
490,EIB,2015,2783/2784,2783,43200-024,Bridge Replacement for Improved Rural Access Sector
491,EIB,2015,2783/2784,2784,43200-024,Bridge Replacement for Improved Rural Access Sector
495,EIB,2015,3250/0471/8303,3250,45041-002,Vientiane Sustainable Urban Transport
496,EIB,2015,3250/0471/8303,0471,45041-002,Vientiane Sustainable Urban Transport
497,EIB,2015,3250/0471/8303,8303,45041-002,Vientiane Sustainable Urban Transport
498,EIB,2015,3348/3349,3348,45148-008,Greater Colombo Water and Wastewater Management Improvement Investment ProgramﾗTranche 3
499,EIB,2015,3348/3349,3349,45148-008,Greater Colombo Water and Wastewater Management Improvement Investment ProgramﾗTranche 3
500,EIB,2015,3363/3364/8302,3363,40080-025,Ha Noi Metro Rail System(Line 3
501,EIB,2015,3363/3364/8302,3364,40080-025,Ha Noi Metro Rail System(Line 3
502,EIB,2015,3363/3364/8302,8302,40080-025,Ha Noi Metro Rail System(Line 3
510,Finland,2007,2168/7/13/75/0193,2168,36601-013,North East Community Restoration and Development II (Supplementary)
511,Finland,2007,2168/7/13/75/0193,0007,36601-013,North East Community Restoration and Development II (Supplementary)
512,Finland,2007,2168/7/13/75/0193,0013,36601-013,North East Community Restoration and Development II (Supplementary)
513,Finland,2007,2168/7/13/75/0193,0075,36601-013,North East Community Restoration and Development II (Supplementary)
514,Finland,2007,2168/7/13/75/0193,0193,36601-013,North East Community Restoration and Development II (Supplementary)
520,Finland,2011,G0272/0289,G0272,35174-082,School Sector Program
521,Finland,2011,G0272/0289,0289,35174-082,School Sector Program
543,France,2003,2025/2747,2025,29296-013,Phuoc Hoa Water Resources
544,France,2003,2025/2747,2747,29296-013,Phuoc Hoa Water Resources
574,France,2009,2552/2553/8246,2552,42051-023,Energy Efficiency Investment Program - Tranche I
575,France,2009,2552/2553/8246,2553,42051-023,Energy Efficiency Investment Program - Tranche I
576,France,2009,2552/2553/8246,8246,42051-023,Energy Efficiency Investment Program - Tranche I
583,France,2011,2025/2747,2025,29296-013,Phuoc Hoa Water Resources (Supplementary)
584,France,2011,2025/2747,2747,29296-013,Phuoc Hoa Water Resources (Supplementary)
585,France,2011,2741,2741,40080-013,Ha Noi Metro Rail System (Line 3
586,France,2011,2741,2741,40080-013,Ha Noi Metro Rail System (Line 3
587,France,2011,2741,2741,40080-013,Ha Noi Metro Rail System (Line 3
588,France,2012,2862-64/0287/8270,2862-64,42169-013,Greater Dhaka Sustainable Urban Transport
589,France,2012,2862-64/0287/8270,0287,42169-013,Greater Dhaka Sustainable Urban Transport
590,France,2012,2862-64/0287/8270,8270,42169-013,Greater Dhaka Sustainable Urban Transport
591,France,2012,2959,2959,42039-035,Power Transmission Investment Program - Tranche 2
592,France,2013,2920/8273,2920,44507-003,Public-Private Partnership Support - Additional Cofinancing
593,France,2013,2920/8273,8273,44507-003,Public-Private Partnership Support - Additional Cofinancing
594,France,2013,3015/0354/8272,3015,41074-013, West Kalimantan Power Grid Strengthening
595,France,2013,3015/0354/8272,0354,41074-013, West Kalimantan Power Grid Strengthening
596,France,2013,3015/0354/8272,8272,41074-013, West Kalimantan Power Grid Strengthening
597,France,2013,3051/8292,3051,42173-013,Dhaka Environmentally Sustainable Water Supply
598,France,2013,3051/8292,8292,42173-013,Dhaka Environmentally Sustainable Water Supply
599,France,2013,3068,3068,46093-004,"Inclusive Growth through Improved Connectivity Program, Subprogram 2"
600,France,2013,3087,3087,42378-016,Power System Expansion and Efficiency Improvement Investment Plan - Tranche 2
601,France,2014,3029/3030/8282,3029,45148-007,Greater Colombo Water and Wastewater Management Improvement Investment Program ﾖ Tranche 2
602,France,2014,3029/3030/8282,3030,45148-007,Greater Colombo Water and Wastewater Management Improvement Investment Program ﾖ Tranche 2
603,France,2014,3029/3030/8282,8282,45148-007,Greater Colombo Water and Wastewater Management Improvement Investment Program ﾖ Tranche 2
604,France,2014,3111,3111,44253-013,Local Government Finance and Fiscal Decentralization Reform Program ﾖ  Subprogram 1
605,France,2015,3303/8293,3303,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
606,France,2015,3303/8293,8293,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
607,"France,AFD",2014,3146/3147/0084/8290,3146,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
