Cofinancier,Approval Year,Product Approval Number,Approval Numbers,Proj No,Country Mnemomic,Project Title,Department,Division,ApprovalDate,TotalCofinancing,CofinancingType,AgreementType,AdministrativeArrangement,SourceClassification,Type,Sector,Sov-NonSov
Canada,2005,3,2163/2164/0003,34152,INO,Community Water Services and Health,SERD,SESS,04/07/2005,4,DVA,PS,Full Administration,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
Canada,2005,,2194,,VIE,Support to Implementation on Poverty Reduction Program II,SERD,VRM,11/03/2005,5,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
Canada,2006,52,2227/0033/0052,36252,AFG,Western Basin Water Resources Management,CWRD,,08/25/2006,8.35,DVA,,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
Canada,2006,,2262,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,3.6,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
Canada,2007,76,9024/0076,,AFG,Road Employment Project for Settlement and Integration of Returning Refugees and Displaced Persons (Supplementary),CWRD,,03/28/2007,12.8,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
Canada,2007,,2352,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,7,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
Canada,2008,110,2409/0110/0146/8233/8239,41657,BAN,Emergency Disaster Damage Rehabilitation (Sector),SARD,BRM,01/31/2008,10,DVA,PS,Full Administration,Bilateral,Grant,Multisector,Sovereign
Canada,2009,4209(L),2015/4209(L),30216,BAN,Second Primary Education Development Program (Supplementary),SARD,SASS,01/30/2009,30,DVA,,Full Administration,Bilateral,Grant,Education,Sovereign
Canada,2010,206,0118/0206,,NEP,Governance Support Program (Subprogram I) (Supplementary),SARD,,04/12/2010,8.8,DVA,,Full Administration,Bilateral,Grant,Public Sector Management,Sovereign
Canada,2011,2761 (CG),2761,42122-013,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,65,DVA,,Collaborative,Bilateral,Grant,Education,Sovereign
Canada,2013,343,2928/0343,42099-013,INO,Polytechnic Education Development,SERD,IRM,04/12/2013,4.95,DVA,PS,Full Administration,Bilateral,Grant,Education,Sovereign
"Canada,CEFPF-CCFPSA",2013,8278,3089/8277/8278,42916,INO,Sarulla Geothermal Power Development,PSOD,PSIF2,12/05/2013,20,DVA,CFA/TF,Full Administration,Bilateral,Loan,Energy,Non-Sovereign
"Canada,CEFPF-CCFPSA",2014,8281,3130/7407/8281,47919-014,GEO,Adjaristsqali Hydropower,PSOD,PSIF1,05/19/2014,15,DVA,CFA/TF,Full Administration,Bilateral,Loan,Energy,Non-Sovereign
CEF-CEFPF,,,,,,,,,,21.5,,,,,,,
CEF-CEFPF,2008,109,109,,PRC,Capacity Building for Energy Efficiency Implementation,EARD,,06/04/2008,0.8,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,Energy,Sovereign
CEF-CEFPF,2009,183,2587/0183,40553,NEP,Energy Access and Efficiency Improvement,SARD,SAEN,11/27/2009,4.2,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,Energy,Sovereign
CEF-CEFPF,2010,198,2619/0198/8245,40061,INO,Java-Bali Electricity Distribution Performance Improvement,SERD,SEEN,03/22/2010,1,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,Energy,Sovereign
CEF-CEFPF,2010,201,2628/EI7311/0201,,THA,Solar Power,PSOD,,04/16/2010,2,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,Energy,Non-Sovereign
CEF-CEFPF,2010,202,2632/0202/0203,40682,PRC,Integrated Renewable Biomass Energy Development Sector,EARD,,04/16/2010,3,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,Multisector,Sovereign
CEF-CEFPF,2012,303,0303/2892/2893,43576-013,SRI,Clean Energy and Network Efficiency Improvement,SARD,SAEN,09/18/2012,1.5,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Energy,Sovereign
CEF-CEFPF,2013,354,3015/0354/8272,41074-013,INO, West Kalimantan Power Grid Strengthening,SERD,SEEN,08/27/2013,2,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Energy,Sovereign
