,Cofinancier,Approval Year,Product Approval Number,Approval Numbers,Proj No,Country Mnemomic,Project Title,Department,Division,ApprovalDate,TotalCofinancing,CofinancingType,AgreementType,AdministrativeArrangement,SourceClassification,Type,Sector,Sov-NonSov
1480,U.K.,1993,,1263,,PHI,"Primofina Oleochemicals, Inc",PSOD,,11/09/1993,10.0,Non-DVA,,,Bilateral,Loan,Industry and Trade,Non-Sovereign
1481,U.K.,1996,,1473,,PHI,Sixth Road,SERD,,09/30/1996,0.2,Non-DVA,,,Bilateral,Grant,Transport and ICT,Sovereign
1482,U.K.,1996,,1493,,PAK,Social Action Program (Sector) Project II,CWRD,,11/28/1996,30.0,Non-DVA,,,Bilateral,Loan,Multisector,Sovereign
1483,U.K.,1997,,1597,,BAN,Lafarge Surma Cement Ltd,PSOD,,12/18/1997,30.5,Non-DVA,,,Bilateral,Loan,Industry and Trade,Non-Sovereign
1484,U.K.,1998,,1603,,BAN,Grameenphone Telecommunications,PSOD,PSOD,01/20/1998,31.6,Non-DVA,,,Bilateral,Loan,Transport and ICT,Non-Sovereign
1485,U.K.,1999,,1689,,SRI,South Asia Gateway Terminals (Private) Limited for the Colombo Port Development,PSOD,PSOD,05/11/1999,35.0,Non-DVA,,,Bilateral,Loan,Transport and ICT,Non-Sovereign
1486,U.K.,2000,,1813,29466-01,IND,Calcutta Environmental Improvement,SARD,SASS,12/19/2000,30.0,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
1487,U.K.,2001,3785(L),1876/3785(L),29472,NEP,Road Network Development,SARD,NRM,12/13/2001,9.6,DVA,PS,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
1488,U.K.,2001,3800(L),1883/3800(L),33301,VIE,Central Region Livelihood Improvement,SERD,SEAE,12/17/2001,16.45,DVA,PS,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1489,U.K.,2002,3899(L),1881/3899(L),31309,BAN,Post-Literacy and Continuing Education,SARD,SASS,07/12/2002,12.0,DVA,PS,Full Administration,Bilateral,Grant,Education,Sovereign
1490,U.K.,2002,3994(L),1940/G3994,32430,CAM,Health Sector Support,SERD,SESS,11/21/2002,10.36,DVA,,Full Administration,Bilateral,Grant,Health and Social Protection,Sovereign
1491,U.K.,2002,,1940/G3994,32430,CAM,Health Sector Support,SERD,,11/21/2002,11.84,Non-DVA,,,Bilateral,Grant,Health and Social Protection,Sovereign
1492,U.K.,2003,4209(L),2015/4209(L),30216,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,150.0,DVA,PS,Full Administration,Bilateral,Grant,Education,Sovereign
1493,U.K.,2004,4505(L),2144/2145/4505(L),32264,PAK,Punjab Devolved Social Services Program,CWRD,SASS,12/20/2004,30.0,DVA,PS,Full Administration,Bilateral,Grant,Multisector,Sovereign
1494,U.K.,2004,,2123,,VIE,Support to Implementation of Poverty Reduction Program,SERD,VRM,12/09/2004,36.0,Non-DVA,,,Bilateral,Grant,Public Sector Management,Sovereign
1495,U.K.,2005,3,2163/2164/0003,34152,INO,Community Water Services and Health,SERD,SESS,04/07/2005,7.5,DVA,PS,Full Administration,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
1496,U.K.,2005,10,2172/0008/0009/0010,36296,BAN,Second Urban Primary Health Care,SARD,SASS,05/31/2005,25.0,DVA,PS,Full Administration,Bilateral,Grant,Health and Social Protection,Sovereign
1497,U.K.,2005,,2194,,VIE,Support to Implementation on Poverty Reduction Program II,SERD,VRM,11/03/2005,35.9,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
1498,U.K.,2006,53,2254/0053,36224-01,BAN,Second Rural Infrastructure Improvement,SARD,SANS,08/18/2006,56.7,DVA,PS,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1499,U.K.,2006,,2254/0053,36224,BAN,Second Rural Infrastructure Improvement,SARD,SANS,08/18/2006,4.2,Non-DVA,,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1500,U.K.,2006,,2262,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,37.0,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
1501,U.K.,2007,,2352,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,40.0,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
1502,U.K.,2008,93,0093/8234,,NEP,Rural Reconstruction and Rehabilitation Sector Development (Supplementary),SARD,,11/11/2008,20.0,DVA,,Partial Administration,Bilateral,Grant,Transport and ICT,Sovereign
1503,U.K.,2008,3994(L),1940/G3994,32430,CAM,Health Sector Support (Supplementary),SERD,SESS,03/31/2008,1.8,DVA,PS,Full Administration,Bilateral,Grant,Health and Social Protection,Sovereign
1504,U.K.,2008,,0118/0206,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,30.0,Non-DVA,,,Bilateral,Grant,Public Sector Management,Sovereign
1505,U.K.,2009,170,0167/0170,42091,AFG,Water Resources Development Investment Program - Tranche 1,CWRD,CWER,10/06/2009,3.3,DVA,,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1506,U.K.,2011,0272 (CG),G0272/0289,35174-082,NEP,School Sector Program,SARD,NRM,11/22/2011,4.0,DVA,,Collaborative,Bilateral,Grant,Education,Sovereign
1507,U.K.,2011,277,9135/0277/0382/0406,38097-013,NEP,Establishing Women and Children Service Centers (Supplementary),SARD,SAHS,05/18/2011,0.2,DVA,,Full Administration,Bilateral,Grant,Health and Social Protection,Sovereign
1508,U.K.,2011,281,0280/0281/0282,42094,AFG,Energy Sector Development Investment Program ﾖ Tranche 3,CWRD,CWEN,12/22/2011,20.0,DVA,PS,Full Administration,Bilateral,Grant,Energy,Sovereign
1509,U.K.,2011,2761 (CG),2761,42122-013,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,190.0,DVA,,Collaborative,Bilateral,Grant,Education,Sovereign
1510,U.K.,2012,306,0305-0306/0368,36172-063,NEP,Strengthening Public Management Program,SARD,SAPF,09/26/2012,4.0,DVA,PS,Full Administration,Bilateral,Grant,Public Sector Management,Sovereign
1511,U.K.,2015,434,3121/0434,40075-033,PAK,National Trade Corridor Highway Investment ProgramﾗTranche 2 ,CWRD,PRM,07/31/2015,82.4,DVA,PS,Full Administration,Bilateral,Grant,Transport,Sovereign
1512,U.K.,2015,435,3197/0435,40075-043,PAK,National Trade Corridor Highway Investment ProgramﾗTranche 3 ,CWRD,CWTC,07/31/2015,39.2,DVA,PS,Full Administration,Bilateral,Grant,Transport,Sovereign
1513,U.K.,2015,440,3300/0440,48402-001,PAK,National Motorway M-4 GojraﾖShorkot Section,CWRD,CWTC,09/30/2015,92.0,DVA,PS,Full Administration,Bilateral,Grant,Transport,Sovereign
1514,"U.K.,DFID",2014,406,9135/0277/0382/0406,38097-013,NEP,Establishing Women and Children Service Centers ﾖ Additional Financing,SARD,SAHS,03/25/2014,3.2,DVA,PS,Full Administration,Bilateral,Grant,Health and Social Protection,Sovereign
1515,"U.K.,DFID",2015,451,3134/0451,47281-001,PAK,National Highway Network Development in Balochistan,CWRD,CWTC,11/03/2015,72.4,DVA,PS,Full Administration,Bilateral,Grant,Transport,Sovereign
1517,U.S.A.,1970,,33,36252,INO,Pusri Fertilizer Plant Expansion,SERD,SERD,06/04/1970,24.0,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
1518,U.S.A.,1975,,217,44236-01,BAN,Ashuganj Fertilizer,SARD,BRM,02/20/1975,30.0,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
1519,U.S.A.,1979,,396,,BAN,Ashuganj Fertilizer (Supplementary),SARD,BRM,04/26/1979,23.0,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
1520,U.S.A.,1983,,660,,PAK,Guddu Combined Cycle,CWRD,,11/01/1983,52.0,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
1521,U.S.A.,1986,,824,,PAK,WAPDA Tenth Power (Sector),CWRD,,11/01/1986,60.0,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
1522,U.S.A.,1990,,1070,,BAN,Small and Cottage Industry,SARD,,12/18/1990,0.27,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
1523,U.S.A.,1990,,1071,,BAN,Agriculture and Rural Credit,SARD,SAGF,11/01/1990,3.0,Non-DVA,,,Bilateral,Loan,Finance,Sovereign
1524,U.S.A.,1992,,1161,,IND,Power Efficiency (Sector),SARD,,11/01/1992,14.0,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
1525,U.S.A.,1994,,1311,,NEP,Irrigation Management Transfer,SARD,SAAE,11/01/1994,4.6,Non-DVA,,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1526,U.S.A.,1998,,1605,,INO,Central Sulawesi Integrated Area Dev & Conservation,SERD,SEAE,01/27/1998,1.37,Non-DVA,,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1527,U.S.A.,1998,,1663-1665,,PHI,Metro Manila Air Quality Improvement Sector Dev. Program,SERD,SEOC,12/16/1998,0.89,Non-DVA,,,Bilateral,Grant,Transport and ICT,Sovereign
1528,U.S.A.,1999,,1694,,RMI,Ebeye Health and Infrastructure,PARD,,08/12/1999,0.47,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
1529,U.S.A.,2000,,1739,,PHI,Grains Sector Development Program,SERD,SERD,04/24/2000,0.6,Non-DVA,,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1530,U.S.A.,2000,,1746,,PHI,Pasig River Environmental Management and Rehabilitation SDP (Investment Loan),SERD,,07/20/2000,0.5,Non-DVA,,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
1531,U.S.A.,2004,,2146,30403,PRC,Coal Mine Methane Development,EARD,EAEN,12/20/2004,0.5,Non-DVA,,,Bilateral,Grant,Energy,Sovereign
1532,U.S.A.,2009,155,2114/0155,37644,TAJ,Regional Customs Modernization and Infrastructure Development,CWRD,CWPF,08/12/2009,1.6,DVA,,Full Administration,Bilateral,Grant,Industry and Trade,Sovereign
1534,WFP,2000,,1824,,CAM,Emergency Flood Rehabilitation,SERD,SEOC,12/21/2000,1.1,Non-DVA,,,Multilateral,Grant,Multisector,Sovereign
1536,WFPF-SFPTF,2014,395,3133/0394/0395/8284,44212-013,BAN,Coastal Towns Environmental Infrastructure,SARD,SAUW,06/27/2014,1.6,DVA,CFA/TF,Full Administration,Private Sector,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
1537,WFPF-SFPTF,2014,405,3157/0405/8304,35173-013,NEP,Third Small Towns Water Supply and Sanitation Sector,SARD,SAUW,09/19/2014,1.3,DVA,CFA/TF,Full Administration,Private Sector,Grant,Water and Other Urban Infrastructure and Services,Sovereign
1538,WFPF-SFPTF,2014,413,3182/3183/0413,42267-026,IND,Rajasthan Urban Sector Development Program,SARD,SAUW,10/24/2014,2.0,DVA,CFA/TF,Full Administration,Private Sector,Grant,Water and Other Urban Infrastructure and Services,Sovereign
1540,WHO,1980,,504,,BAN,Public Health Program,SARD,,12/22/1980,0.15,Non-DVA,,,Multilateral,Grant,Health and Social Protection,Sovereign
1541,WHO,2000,,1777,,VIE,Rural Health,SERD,SESS,11/09/2000,0.3,Non-DVA,,,Multilateral,Grant,Health and Social Protection,Sovereign
1542,WHO,2005,,0025-0027,,REG,GMS: Regional Communicable Diseases Control,SERD,SESS,11/21/2005,0.9,Non-DVA,,,Multilateral,Grant,Health and Social Protection,Sovereign
1543,WHO,2010,236,236,,MON,Fourth Health Sector Development,EARD,,11/29/2010,0.45,Non-DVA,,,Multilateral,Grant,Health and Social Protection,Sovereign
1544,WHO,2011,,2785/0259/8274,41509-013,PNG,Rural Primary Health Services Delivery,PARD,PAUS,09/30/2011,1.0,Non-DVA,,,Multilateral,Grant,Health and Social Protection,Sovereign
1545,WHO,2012,,2963,45009-002,MON,Fifth Health Sector Development,EARD,EASS,12/10/2012,0.48,DVA,PS,Collaborative,Multilateral,Grant,Health and Social Protection,Sovereign
1547,World Bank,1970,,33,36252,INO,Pusri Fertilizer Plant Expansion,SERD,SERD,06/04/1970,35.0,Non-DVA,,,Multilateral,Loan,Industry and Trade,Sovereign
1548,World Bank,1973,171,0171-0172,40641,PAK,Multan Fertilizer,CWRD,,12/19/1973,35.0,Non-DVA,,,Multilateral,Loan,Industry and Trade,Sovereign
1549,World Bank,1973,,137,,THA,Bangkok Water Supply,SERD,SESS,07/24/1973,55.0,Non-DVA,,,Multilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
1550,World Bank,1975,,217,44236-01,BAN,Ashuganj Fertilizer,SARD,BRM,02/20/1975,33.0,Non-DVA,,,Multilateral,Loan,Industry and Trade,Sovereign
1551,World Bank,1978,,345,,FIJ,Second Power,PARD,PARD,06/29/1978,15.6,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1552,World Bank,1978,,351,,PHI,Second Manila Water Supply,SERD,,09/07/1978,85.0,Non-DVA,,,Multilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
1553,World Bank,1979,,396,,BAN,Ashuganj Fertilizer (Supplementary),SARD,BRM,04/26/1979,29.0,Non-DVA,,,Multilateral,Loan,Industry and Trade,Sovereign
1554,World Bank,1980,,457,,PHI,Manila Sewerage,SERD,,06/24/1980,63.0,Non-DVA,,,Multilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
1555,World Bank,1980,,459,,INO,Second Java EHV Transmission,SERD,SEID,06/26/1980,90.5,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1556,World Bank,1980,,485,,SAM,Agricultural Development,PARD,,11/27/1980,2.0,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
1557,World Bank,1980,,505,,PAK,Load Despatch and Transmission,CWRD,,12/22/1980,45.0,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1558,World Bank,1980,,508,,SOL,Development Bank of Solomon Islands,PARD,,12/22/1980,1.5,Non-DVA,,,Multilateral,Loan,Finance,Sovereign
1559,World Bank,1981,,541,,BAN,Chittagong Urea Fertilizer,SARD,BRM,11/01/1981,15.0,Non-DVA,,,Multilateral,Loan,Industry and Trade,Sovereign
1560,World Bank,1982,,570,,PAK,Telecommunications,CWRD,,06/17/1982,40.0,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
1561,World Bank,1982,,587,15076,BAN,Ashuganj Thermal Power Generation,SARD,,10/21/1982,92.0,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1562,World Bank,1982,,613,,THA,Second Power System Expansion,SERD,SEID,12/09/1982,4.96,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1563,World Bank,1983,,632,,VAN,Agricultural Extension and Training,PARD,,08/04/1983,2.0,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
1564,World Bank,1983,,646,,SOL,Agricultural Development,PARD,,10/29/1983,3.5,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
1565,World Bank,1984,,680,,PHI,Agricultural Inputs Program,SERD,SEAE,03/27/1984,150.0,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
1566,World Bank,1984,,700,17055,PAK,Left Bank Outfall Drain (Stage I),CWRD,SAAE,10/25/1984,150.0,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
1567,World Bank,1984,,704,,SOL,Guadalcanal Road Improvement,PARD,,11/06/1984,2.0,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
1568,World Bank,1984,,707,,SAM,Development Bank of Western Samoa V,PARD,,11/15/1984,2.0,Non-DVA,,,Multilateral,Loan,Finance,Sovereign
1569,World Bank,1984,,712,,SRI,Plantation Sector,SARD,SAAE,12/04/1984,55.0,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
1570,World Bank,1985,,739,,FIJ,Second Fiji Development Bank,PARD,,07/16/1985,6.5,Non-DVA,,,Multilateral,Loan,Finance,Sovereign
1571,World Bank,1985,,752,18155,SAM,Multiproject Loan,PARD,,11/19/1985,2.5,Non-DVA,,,Multilateral,Loan,Multisector,Sovereign
1572,World Bank,1985,,761,,PAK,Second Telecommunications,CWRD,,11/28/1985,100.0,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
1573,World Bank,1985,,766,,VAN,Multi-Project,PARD,,12/05/1985,2.0,Non-DVA,,,Multilateral,Loan,Multisector,Sovereign
1574,World Bank,1986,,793,,PAK,Karachi Urban Development,CWRD,,10/14/1986,69.87,Non-DVA,,,Multilateral,Loan,Multisector,Sovereign
1575,World Bank,1986,,813,,SAM,Afulilo Hydroelectric,PARD,,12/14/1986,3.0,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1576,World Bank,1986,,824,,PAK,WAPDA Tenth Power (Sector),CWRD,,12/18/1986,100.0,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1577,World Bank,1987,,873,,SRI,Small and Medium Industries,SARD,,12/08/1987,15.0,Non-DVA,,,Multilateral,Loan,Industry and Trade,Sovereign
1578,World Bank,1988,,896,,SRI,Development Financing II,SARD,SAGF,08/04/1988,40.0,Non-DVA,,,Multilateral,Loan,Finance,Sovereign
1579,World Bank,1989,,943,,THA,Second Highway (Sector),SERD,,01/12/1989,87.0,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
1580,World Bank,1989,,957,,PAK,Flood Damage Restoration,CWRD,SAAE,03/30/1989,40.0,Non-DVA,,,Multilateral,Loan,Multisector,Sovereign
1581,World Bank,1989,,960,,SAM,Second Telecommunications,PARD,,06/01/1989,4.6,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
1582,World Bank,1989,,986,22229,PHI,Angat Water Supply Optimization,SERD,SESS,11/14/1989,52.4,Non-DVA,,,Multilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
1583,World Bank,1989,,990,,TON,Fourth Tonga Development Bank,PARD,,11/29/1989,3.0,Non-DVA,,,Multilateral,Loan,Finance,Sovereign
1584,World Bank,1989,,991,,PHI,Hopewell Energy (Phils.) Corp.,PSOD,,11/23/1989,10.0,Non-DVA,,,Multilateral,Loan,Energy,Non-Sovereign
1585,World Bank,1989,,1005,,FIJ,Low Income Housing Development,PARD,,12/21/1989,16.2,Non-DVA,,,Multilateral,Loan,Finance,Sovereign
1586,World Bank,1990,,1036,,IND,Calcutta Electric Supply Co. Ltd. (CESC),SARD,,10/04/1990,20.0,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1587,World Bank,1990,,1038,,SRI,Second Telecommunications,SARD,,10/18/1990,58.0,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
1588,World Bank,1990,,1044,23373,PAK,Agricultural Credit,CWRD,SAGF,11/06/1990,150.0,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
1589,World Bank,1990,,1045,,BAN,Food Crops Development Program,SARD,SAAE,11/06/1990,75.0,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
1590,World Bank,1990,,1065,,PHI,Avantex Mill Corporation,PSOD,,12/11/1990,11.25,Non-DVA,,,Multilateral,Loan,Industry and Trade,Non-Sovereign
1591,World Bank,1990,,1071,,BAN,Agriculture and Rural Credit,SARD,SAGF,11/01/1990,50.0,Non-DVA,,,Multilateral,Loan,Finance,Sovereign
1592,World Bank,1991,,1084,,SRI,Second Small and Medium Industries,SARD,,05/30/1991,45.0,Non-DVA,,,Multilateral,Loan,Industry and Trade,Sovereign
1593,World Bank,1991,,1098,,THA,Fourth Highway (Sector),SERD,SEID,09/17/1991,87.0,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
1594,World Bank,1991,,1109,,MON,Special Assistance,EARD,,10/29/1991,30.0,Non-DVA,,,Multilateral,Loan,Industry and Trade,Sovereign
1595,World Bank,1991,,1117,,IND,Gandhar Field Development,SARD,,11/14/1991,14.4,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1596,World Bank,1991,,1142,,IND,CESC Limited II,SARD,,12/13/1991,32.0,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1597,World Bank,1992,8137,1164/8135/8137,22138,FIJ,Second Road Upgrading,PARD,,06/18/1992,15.0,DVA,,Partial Administration,Multilateral,Loan,Transport and ICT,Sovereign
1598,World Bank,1992,,1151,,THA,Seventh Power Distribution,SERD,SEID,01/09/1992,109.1,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1599,World Bank,1992,,1161,,IND,Power Efficiency (Sector),SARD,,11/01/1992,265.0,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1600,World Bank,1992,,1169,25370,THA,Bongkot Gas Transmission,SERD,SEID,07/02/1992,91.88,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1601,World Bank,1992,,1172,,INO,Power XXII,SERD,SEID,08/04/1992,357.8,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1602,World Bank,1992,,1176,,THA,Fifth Highway (Sector),SERD,,08/18/1992,177.5,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
1603,World Bank,1992,,1209,,PAK,Flood Damage Restoration (Sector),CWRD,SAAE,12/15/1992,139.57,Non-DVA,,,Multilateral,Loan,Multisector,Sovereign
1604,World Bank,1993,,1222,,IND,Gas Flaring Reduction,SARD,,03/30/1993,450.0,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1605,World Bank,1993,,1225,,PNG,Population and Family Planning,PARD,,04/01/1993,6.9,Non-DVA,,,Multilateral,Grant,Health and Social Protection,Sovereign
1606,World Bank,1993,,1228,,SAM,Afulilo Hydroelectric (Supplementary),PARD,,04/22/1993,1.0,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1607,World Bank,1993,,1230,,PHI,Hopewell Power (Philippines) Corp.,PSOD,PSOD,05/18/1993,60.0,Non-DVA,,,Multilateral,Loan,Energy,Non-Sovereign
1608,World Bank,1993,,1246,,THA,Eighth Power Distribution (Sector),SERD,SEID,08/19/1993,110.8,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1609,World Bank,1993,,1276,26347,THA,Second Erawan Gas Transmission,SERD,SEEN,12/02/1993,112.2,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1610,World Bank,1994,,1298,22237,BAN,Jamuna Bridge,SARD,SATC,03/08/1994,199.11,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
1611,World Bank,1994,,1301,,PAK,Social Action Program (Sector),CWRD,,06/23/1994,200.0,Non-DVA,,,Multilateral,Loan,Multisector,Sovereign
1612,World Bank,1994,,1331,,PHI,Women's Health & Safe Motherhood,SERD,SESS,11/10/1994,18.0,Non-DVA,,,Multilateral,Loan,Health and Social Protection,Sovereign
1613,World Bank,1995,,1390,,BAN,Nonformal Education,SARD,SASS,09/29/1995,7.82,Non-DVA,,,Multilateral,Loan,Education,Sovereign
1614,World Bank,1995,,1391,,THA,Second Regional Roads (Sector),SERD,SEID,09/29/1995,150.0,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
1615,World Bank,1995,,1398,,PHI,Northern Luzon Transmission & Generation,SERD,SEID,11/02/1995,109.5,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1616,World Bank,1995,,1413,,PAK,National Drainage Program,CWRD,SAAE,12/12/1995,285.0,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
1617,World Bank,1996,,1424,,PAK,Ghazi-Barotha Hydropower,CWRD,SAEN,01/18/1996,350.0,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1618,World Bank,1996,,1430,,NEP,Himal Power,PSOD,PSOD,11/01/1996,32.1,Non-DVA,,,Multilateral,Loan,Energy,Non-Sovereign
1619,World Bank,1996,,1433,,INO,Industrial Technology & Human Resources Dev.,SERD,,03/28/1996,47.0,Non-DVA,,,Multilateral,Loan,Industry and Trade,Sovereign
1620,World Bank,1996,,1443,,KGZ,Power & District Heating Rehab.,CWRD,,06/06/1996,17.2,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1621,World Bank,1996,,1460,,VIE,Population and Family Health,SERD,,09/19/1996,44.59,Non-DVA,,,Multilateral,Loan,Health and Social Protection,Sovereign
1622,World Bank,1996,,1493,,PAK,Social Action Program (Sector) Project II,CWRD,,11/28/1996,250.0,Non-DVA,,,Multilateral,Loan,Multisector,Sovereign
1623,World Bank,1997,,1582,,PRC,Northeast Power Transmission,EARD,EAEN,11/25/1997,0.6,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
1624,World Bank,1997,,1597,,BAN,Lafarge Surma Cement Ltd,PSOD,,12/18/1997,50.0,Non-DVA,,,Multilateral,Loan,Industry and Trade,Non-Sovereign
1625,World Bank,1998,,1603,,BAN,Grameenphone Telecommunications,PSOD,PSOD,11/01/1998,31.6,Non-DVA,,,Multilateral,Loan,Transport and ICT,Non-Sovereign
1626,World Bank,1998,,1606-1607,,PHI,Early Childhood Development,SERD,SESS,01/27/1998,17.3,Non-DVA,,,Multilateral,Loan,Health and Social Protection,Sovereign
