,Cofinancier,Approval Year,Product Approval Number,Approval Numbers,Proj No,Country Mnemomic,Project Title,Department,Division,ApprovalDate,TotalCofinancing,CofinancingType,AgreementType,AdministrativeArrangement,SourceClassification,Type,Sector,Sov-NonSov
108,Belgium,1997,,1537,,VIE,Lower Secondary Education Development,SERD,SESS,09/16/1997,0.51,Non-DVA,,,Bilateral,Grant,Education,Sovereign
110,Canada,1976,,0279-0280,,PAK,Port Qasim,CWRD,,11/18/1976,6.06,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
111,Canada,1977,,0332/8010,,PAK,Tarbela Hydropower (Supplementary & Extension),CWRD,SAEN,12/15/1977,35.0,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
112,Canada,1981,,523,,BAN,Power System Rehabilitation and Expansion,SARD,,09/22/1981,1.26,Non-DVA,,,Bilateral,Grant,Energy,Sovereign
113,Canada,1981,,541,,BAN,Chittagong Urea Fertilizer,SARD,BRM,11/01/1981,20.0,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
114,Canada,1982,,601,,PAK,Tarbela Hydropower Extension (Units 9 and 10),CWRD,,11/23/1982,17.0,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
115,Canada,1983,,623,,THA,Mineral Resources Development,SERD,SERD,04/14/1983,7.07,Non-DVA,,,Bilateral,Grant,Industry and Trade,Sovereign
116,Canada,1984,,700,17055,PAK,Left Bank Outfall Drain (Stage I),CWRD,SAAE,10/25/1984,37.2,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
117,Canada,1984,,701,,PAK,Tarbela Hydropower Extension (Units 11 and 12),CWRD,,11/01/1984,17.41,Non-DVA,,,Bilateral,Loan,Energy,Non-Sovereign
118,Canada,1987,,869,,PAK,Oil and Gas Development,CWRD,,12/03/1987,0.2,Non-DVA,,,Bilateral,Grant,Energy,Sovereign
119,Canada,1988,,888,,SRI,Emergency Schools Restoration,SARD,,06/30/1988,4.0,Non-DVA,PS,,Bilateral,Grant,Education,Sovereign
120,Canada,1998,,1609,,NEP,Community Groundwater Irrigation Sector,SARD,SAAE,11/01/1998,2.8,Non-DVA,PS,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
121,Canada,2003,4209(L),2015/4209(L),30216,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,20.0,DVA,PS,Full Administration,Bilateral,Grant,Education,Sovereign
122,Canada,2004,4559,2101/4559 (L),26061,BAN,Teaching Quality Improvement for Secondary Education,SARD,SASS,11/09/2004,18.0,DVA,PS,Full Administration,Bilateral,Grant,Education,Sovereign
123,Canada,2004,,2123,,VIE,Support to Implementation of Poverty Reduction Program,SERD,VRM,12/09/2004,5.0,Non-DVA,,,Bilateral,Grant,Public Sector Management,Sovereign
124,Canada,2005,3,2163/2164/0003,34152,INO,Community Water Services and Health,SERD,SESS,04/07/2005,4.0,DVA,PS,Full Administration,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
125,Canada,2005,,2194,,VIE,Support to Implementation on Poverty Reduction Program II,SERD,VRM,11/03/2005,5.0,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
