,Donor,Unnamed: 1,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
3566,Saudi Fund for Development,Saudi Arabia,1984,1984,,0689,,,,MAL,Third Penang Port Expansion,SERD,,08/28/1984,,,,,0.00,,30.00,,30.00,Non-DVA,,,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,08/28/1984,,,,,Sovereign,,,,,
3568,Asian Development Bank,"Canada,U.K.,Switzerland,Saudi Arabia,IsDB,OFID,World Bank",1984,1984,,0700,17055,,,PAK,Left Bank Outfall Drain (Stage I),CWRD,SAAE,10/25/1984,0.00,122.00,0.00,,122.00,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,S,,,,
3569,Saudi Fund for Development,Saudi Arabia,1984,1984,,0700,17055,,,PAK,Left Bank Outfall Drain (Stage I),CWRD,SAAE,10/25/1984,,,,,0.00,,52.00,,52.00,Non-DVA,,,Bilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,10/25/1984,,,,,Sovereign,S,,,,
3571,Saudi Fund for Development,Saudi Arabia,2005,2005,,2205-2206,35457,,,AZE,East-West Highway Improvement,CWRD,CWTC,12/08/2005,,,,,0.00,,11.00,,11.00,Non-DVA,,,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,12/08/2005,,,,,Sovereign,,,,,"DR 2010. Case Study: Reconnecting Asia, pp 30-31."
3573,Asian Development Bank,"Saudi Arabia,IsDB",2005,2005,,2205/2206,35457,,,AZE,East-West Highway Improvement,CWRD,CWTC,12/08/2005,49.00,3.00,0.00,,52.00,,,,,,,,,,OCR,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,"DR 2010. Case Study: Reconnecting Asia, pp 30-31."
3576,Asian Development Bank,SCF-PPCR,2013,2013,0352,0352,45354-002,,,TAJ,Building Climate Resilience in the Pyanj River Basin,CWRD,CWER,07/25/2013,,,,,0.00,,,,,,,,,,,3000.0,Agriculture and Natural Resources,3011,"Irrigation, Drainage, and Flood Protection",,,Environment Sustainability,,,,,,,,,,,,"other sectors: Finance (Microfinance), Water and other municipal infrastructure and services (Water supply and sanitation)",
3577,SCF-PPCR,SCF-PPCR,2013,2013,0352,0352,45354-002,,,TAJ,Building Climate Resilience in the Pyanj River Basin,CWRD,CWER,07/25/2013,,,,,0.00,21.55,,,21.55,DVA,CFA/TF,Full Administration,Global Fund,Grant,,3000.0,Agriculture and Natural Resources,,"Irrigation, Drainage, and Flood Protection",06/06/2013,,,No,,07/25/2013,,,,,Sovereign,,,,,
3579,Asian Development Bank,"NDF,SCF-PPCR",2013,2013,0357/0358,0357/0358,44214-024,,,NEP,Building Climate Resilience of Watersheds in Mountain Eco-Regions,SARD,SAER,09/23/2013,,,,,0.00,,,,,,,,,,,3000.0,Agriculture and Natural Resources,"3012, 3013","Land-Based Natural Resources Management, Water-Based Natural Resources Management",,,Environment Sustainability,,,,,,,,,,,,,
3580,SCF-PPCR,SCF-PPCR,2013,2013,0357,0357/0358,44214-024,,,NEP,Building Climate Resilience of Watersheds in Mountain Eco-Regions,SARD,SAER,09/23/2013,,,,,0.00,23.54,,,23.54,DVA,CFA/TF,Full Administration,Global Fund,Grant,,3000.0,Agriculture and Natural Resources,,"Land-Based Natural Resources Management, Water-Based Natural Resources Management",,,,No,,09/23/2013,,,,Under Administration,Sovereign,,,,,
3582,Asian Development Bank,SCF-PPCR,2013,2013,0378,0378,46351-002,,,TON,Climate Resilience Sector,PARD,SPSO,12/09/2013,,,,,0.00,,,,,,,,,,,3900.0,Multisector,3900,Multisector,,,Environment Sustainability,,,,,,,,,,,,,
3583,SCF-PPCR,SCF-PPCR,2013,2013,0378,0378,46351-002,,,TON,Climate Resilience Sector,PARD,SPSO,12/09/2013,,,,,0.00,19.25,,,19.25,DVA,CFA/TF,Full Administration,Global Fund,Grant,,3900.0,Multisector,3900,Multisector,,,,No,,12/09/2013,,,,Under Administration,Sovereign,,,,,
3585,Asian Development Bank,SCF-PPCR,2015,2015,,0426,40253-033,,,CAM,Greater Mekong Subregion Biodiversity Conservation Corridors—Additional Financing,SERD,SEER,03/13/2015,,,,,0.00,,,,,,,,,,,3000.0,"Agriculture, Natural Resources and Rural Development",,,,,,,,,,,,,,,,,,
3586,SCF-PPCR,SCF-PPCR,2015,2015,0426,0426,40253-033,,,CAM,Greater Mekong Subregion Biodiversity Conservation Corridors—Additional Financing,SERD,SEER,03/13/2015,,,,,0.00,7.40,,,7.40,DVA,PS,Full Administration,Global Fund,Grant,,3000.0,"Agriculture, Natural Resources and Rural Development",,,,,,,,03/13/2015,,,,,Sovereign,,,,,
3588,Asian Development Bank,SCF-PPCR,2015,2015,0447,0447,46495-002,,,PNG,Building Climate Resilience to Climate Change in Papua New Guinea,PARD,PATE,10/21/2015,,,,,0.00,,,,,,,,,,,3600.0,Public Sector Management,3601,Public Administration,,,,,,,,,,,,,,,,
3589,SCF-PPCR,SCF-PPCR,2015,2015,0447,0447,46495-002,,,PNG,Building Climate Resilience to Climate Change in Papua New Guinea,PARD,PATE,10/21/2015,,,,,0.00,24.25,,,24.25,DVA,PS,Full Administration,Global Fund,Grant,,3600.0,Public Sector Management,,,07/10/2015,,,No,,10/21/2015,,,,Approved,Sovereign,,,,,
3591,Asian Development Bank,SCF-PPCR,2011,2011,,2839/0278/8254,43309,,,CAM,Provincial Roads Improvement,SERD,SETC,12/16/2011,,52.00,,,52.00,,,,,,,,,,,3700.0,Transport and ICT,3701,Road Transport (Non-Urban),,,,,,,,,,,,,,,with piggy backed TA8005(TASF) CIF loan of $10m not in coding form yet,
3592,SCF-PPCR,SCF-PPCR,2011,2011,0278,2839/0278/8254,43309,,,CAM,Provincial Roads Improvement,SERD,SETC,12/16/2011,,,,,0.00,7.00,,,7.00,DVA,CFA/TF,Full Administration,Global Fund,Grant,,3700.0,Transport and ICT,,Road Transport,,,,No,,12/16/2011,08/02/2012,,,,Sovereign,,,,,
3593,SCF-PPCR,SCF-PPCR,2011,2011,8254,2839/0278/8254,43309-013,,,CAM,Provincial Roads Improvement,SERD,SETC,12/16/2011,,,,,0.00,,10.00,,10.00,DVA,,Full Administration,Global Fund,Loan,,3700.0,Transport and ICT,,Road Transport,11/02/2011,,,No,,12/16/2011,08/02/2012,,,,Sovereign,,,,,
3595,Asian Development Bank,"Germany,IFAD,SCF-PPCR",2012,2012,0310,2913/0310/8258,45084-002,,,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,,20.00,,,20.00,,,,,,,,,,,3700.0,Transport and ICT,,,,,,,,,,,,,,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 21."
3596,SCF-PPCR,SCF-PPCR,2012,2012,0310,2913/0310/8258,45084-002,,,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,,,,,0.00,10.00,,,10.00,DVA,PS,Full Administration,Global Fund,Grant,,3700.0,Transport and ICT,,,,,,No,,09/28/2012,,,,Under Administration,Sovereign,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 21."
3597,SCF-PPCR,SCF-PPCR,2012,2012,8258,2913/0310/8258,45084-002,,,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,,,,,0.00,,20.00,,20.00,DVA,PS,Full Administration,Global Fund,Loan,,3700.0,Transport and ICT,,,,,,No,,09/28/2012,,,,Under Administration,Sovereign,,,,Co-Fin 8258,"DR 2012. para in SARD section on New Joint Initiatives, pp 21."
3599,Asian Development Bank,SCF-PPCR,2012,2012,0330,2970/0330/8262,40190-013,,,CAM,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation,SERD,SEER,12/12/2012,,35.00,,,35.00,,,,,,,,,,,3000.0,Agriculture and Natural Resources,3011,"Irrigation, Drainage, and Flood Protection",,,Inclusive Social and Gender Development,,,,,,,,,,,,,
3600,SCF-PPCR,SCF-PPCR,2012,2012,0330,2970/0330/8262,40190-013,,,CAM,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation,SERD,SEER,12/12/2012,,,,,0.00,5.80,,,5.80,DVA,CFA/TF,Full Administration,Global Fund,Grant,,3000.0,Agriculture and Natural Resources,,"Irrigation, Drainage, and Flood Protection",,,,No,,12/12/2012,,,,Under Administration,Sovereign,,,,,
3601,SCF-PPCR,SCF-PPCR,2012,2012,8262,2970/0330/8262,40190-013,,,CAM,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation,SERD,SEER,12/12/2012,,,,,0.00,,4.00,,4.00,DVA,CFA/TF,Full Administration,Global Fund,Loan,,3000.0,Agriculture and Natural Resources,,"Irrigation, Drainage, and Flood Protection",,,,No,,12/12/2012,,,,,Sovereign,,,,,
3603,Asian Development Bank,"SCF-PPCR,UFPF-UEIF",2012,2012,,2983/0334/0335/8265,43319-033,,,CAM,Greater Mekong Subregion Southern Economic Corridor Towns Development,SERD,SEUW,12/10/2012,,37.00,,,37.00,,,,,,,,,,,3800.0,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,,Sustainable Economic Growth,,,,,,,,,,,,coding still in process as of creation date,"DR 2012. para in SERD section on New Initiatives, pp 24."
3604,SCF-PPCR,SCF-PPCR,2012,2012,0335,2983/0334/0335/8265,43319-033,,,CAM,Greater Mekong Subregion Southern Economic Corridor Towns Development,SERD,SEUW,12/10/2012,,,,,0.00,4.40,,,4.40,DVA,PS,Full Administration,Global Fund,Grant,,3800.0,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,,,,No,,12/10/2012,,,,,Sovereign,,,,,"DR 2012. para in SERD section on New Initiatives, pp 24."
3605,SCF-PPCR,SCF-PPCR,2012,2012,8265,2983/0334/0335/8265,43319-033,,,CAM,Greater Mekong Subregion Southern Economic Corridor Towns Development,SERD,SEUW,12/10/2012,,,,,0.00,,5.00,,5.00,DVA,PS,Full Administration,Global Fund,Loan,,3800.0,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,,,,No,,12/10/2012,,,,,Sovereign,,,,,"DR 2012. para in SERD section on New Initiatives, pp 24."
3607,Asian Development Bank,"SCF-PPCR,GAFSP",2013,2013,,3006/3007/0349/0350/8271,44321-013,,,CAM,Climate-Resilient Rice Commercialization Sector Development Program,SERD,SEER,06/27/2013,,55.00,,,55.00,,,,,,,,,,,3000.0,Agriculture and Natural Resources,3012,Land-Based Natural Resources Management,,,Sustainable Economic Growth,,,,,,,,,,,,Policy-Based Loan $24 million; Project Loan $31 million = $55 million; Effective 13 November 2013,
3608,SCF-PPCR,SCF-PPCR,2013,2013,0350,3006/3007/0349/0350/8271,44321-013,,,CAM,Climate-Resilient Rice Commercialization Sector Development Program,SERD,SEER,06/27/2013,,,,,0.00,4.50,,,4.50,DVA,CFA/TF,Full Administration,Global Fund,Grant,,3000.0,Agriculture and Natural Resources,,Land-Based Natural Resources Management,,,,No,,06/27/2013,,,,,Sovereign,,,,,
3609,SCF-PPCR,SCF-PPCR,2013,2013,8271,3006/3007/0349/0350/8271,44321-013,,,CAM,Climate-Resilient Rice Commercialization Sector Development Program,SERD,SEER,06/27/2013,,,,,0.00,,5.00,,5.00,DVA,CFA/TF,Full Administration,Global Fund,Loan,,3000.0,Agriculture and Natural Resources,,Land-Based Natural Resources Management,,,,No,,06/27/2013,,,,,Sovereign,,,,,
3611,Asian Development Bank,"SCF-PPCR,WFPF-SFPTF",2014,2014,,3133/0394/0395/8284,44212-013,,,BAN,Coastal Towns Environmental Infrastructure,SARD,SAUW,06/27/2014,,52.00,,,52.00,,,,,,,,,,,3800.0,Water and Other Municipal Infrastructure and Services,,,,,Environment Sustainability,,,,,,,,,,,,,
3612,SCF-PPCR,SCF-PPCR,2014,2014,0394,3133/0394/0395/8284,44212-013,,,BAN,Coastal Towns Environmental Infrastructure,SARD,SAUW,06/27/2014,,,,,0.00,10.40,,,10.40,DVA,PS,Full Administration,Global Fund,Grant,,3800.0,Water and Other Municipal Infrastructure and Services,,,12/24/2013,,,No,,06/27/2014,,,,,Sovereign,,,,,
3613,SCF-PPCR,SCF-PPCR,2014,2014,8284,3133/0394/0395/8284,44212-013,,,BAN,Coastal Towns Environmental Infrastructure,SARD,SAUW,06/27/2014,,,,,0.00,,30.00,,30.00,DVA,PS,Full Administration,Global Fund,Loan,,3800.0,Water and Other Municipal Infrastructure and Services,,,12/24/2013,,,No,,06/27/2014,,,,,Sovereign,,,,,
3615,SCF-PPCR,SCF-PPCR,2015,2015,0467,3151/401/402/466/467/8299/8300,42334-014,,,CAM,Rural Roads Improvement II—Additional Financing,SERD,SETC,12/08/2015,,,,,0.00,9.00,,,9.00,DVA,PS,Full Administration,Global Fund,Grant,,3700.0,Transport,3701,Road Transport (Non-Urban),,,,No,,12/08/2015,,,,Approved,Sovereign,,,,,
3616,SCF-PPCR,SCF-PPCR,2015,2015,8300,3151/401/402/466/467/8299/8300,42334-014,,,CAM,Rural Roads Improvement II—Additional Financing,SERD,SETC,12/08/2015,,,,,0.00,,7.00,,7.00,DVA,PS,Full Administration,Global Fund,Loan,,3700.0,Transport,3701,Road Transport (Non-Urban),,,,No,,12/08/2015,,,,Approved,Sovereign,,,,,
3618,Asian Development Bank,SCF-PPCR,2014,2014,,3158/8287,48901-014,,,REG,Spice Value Chain Development Project,PSOD,PSIF1,09/04/2014,16.50,,,,16.50,,,,,,,,,,,3000.0,"Agriculture, Natural Resources and Rural Development","3022, 3023","Agriculture Production,Agro-industry,Marketing,and Trade",,,,,,,,,,,,,,,,
3619,SCF-PPCR,SCF-PPCR,2014,2014,8287,3158/8287,48901-014,,,REG,Spice Value Chain Development Project,PSOD,PSIF1,09/04/2014,,,,,0.00,,5.00,,5.00,DVA,PS,Full Administration,Global Fund,Loan,,3000.0,"Agriculture, Natural Resources and Rural Development",,"Agriculture Production, Agro-industry, Marketing, and Trade",,,,No,,09/04/2014,,,,,Sovereign,,,,,
3621,Asian Development Bank,SCF-PPCR,2015,2015,,3311/0454/8295,42285-013,,,CAM,Integrated Urban Environmental Management in the Tonle Sap Basin,SERD,SEUW,11/10/2015,,37.00,,,37.00,,,,,,,,,,,3800.0,Water and Other Urban Infrastructure and Services,"3813, 3815, 3818, 3817","Urban Policy,Institutional and Capacity Development,Urban Flood Protection,Urban Solid Waste Management,Urban Sanitation",,,,,,,,,,,,,,,,
3622,SCF-PPCR,SCF-PPCR,2015,2015,0454,3311/0454/8295,42285-013,,,CAM,Integrated Urban Environmental Management in the Tonle Sap Basin,SERD,SEUW,11/10/2015,,,,,0.00,5.00,,,5.00,DVA,PS,Full Administration,Global Fund,Grant,,3800.0,Water and Other Urban Infrastructure and Services,,,10/30/2015,,,No,,11/10/2015,,,,Approved,Sovereign,,,,,
3623,SCF-PPCR,SCF-PPCR,2015,2015,8295,3311/0454/8295,42285-013,,,CAM,Integrated Urban Environmental Management in the Tonle Sap Basin,SERD,SEUW,11/10/2015,,,,,0.00,,5.00,,5.00,DVA,PS,Full Administration,Global Fund,Loan,,3800.0,Water and Other Urban Infrastructure and Services,,,10/30/2014,,,No,,11/10/2015,,,,Approved,Sovereign,,,,,
3626,SCF-SREP,SCF-SREP,2014,2014,0410,0409/0410/0429,46122-003,,,,Preparing Outer Islands for Sustainable Energy Development,SARD,SAEN,09/29/2014,,,,,0.00,12.00,,,12.00,DVA,PS,Full Administration,Global Fund,Grant,,3200.0,Energy,"3201, 3216, 3214",Conventional Energy Generation,,,,No,,09/29/2014,,,,,Sovereign,,,,,
3628,Asian Development Bank,"EIB,IsDB,SCF-SREP",2014,2014,,0409/0410/0429,46122-003,,,MLD,Preparing Outer Islands for Sustainable Energy Development,SARD,SAEN,09/29/2014,,,38.00,,38.00,,,,,,,,,,,3200.0,Energy,"3201, 3216, 3214","Conventional Energy Generation,Renewable Energy – Solar,Energy Efficiency and Conservation",,,,,,,,,,,,,,,,
3630,Asian Development Bank,"Norway,EIB,SCF-SREP",2014,2014,,3139/0397/0398,44219-014,,,NEP,South Asia  Subregional Economic Cooperation Power System Expansion,SARD,SAEN,07/04/2014,,180.00,,,180.00,,,,,,,,,,,3200.0,Energy,"3203, 3211","Renewable Energy,Electricity Transmission and Distribution",,,Sustainable Economic Growth,,,,,,,,,,,,,
3631,SCF-SREP,SCF-SREP,2014,2014,0398,3139/0397/0398,44219-014,,,NEP,South Asia  Subregional Economic Cooperation Power System Expansion,SARD,SAEN,07/04/2014,,,,,0.00,11.20,,,11.20,DVA,PS,Full Administration,Global Fund,Grant,,3200.0,Energy,,"Renewable Energy, Electricity Transmission and Distribution",05/09/2014,,,No,,07/04/2014,,,,,Sovereign,,,,,
3634,Asian Development Bank,Singapore,1987,1987,,0875,,,,PHI,Second Manila Port,SERD,,12/15/1987,43.50,0.00,0.00,,43.50,,,,,,,,,,OCR,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
3635,Singapore,Singapore,1987,1987,,0875,,,,PHI,Second Manila Port,SERD,,12/15/1987,,,,,0.00,,1.70,,1.70,Non-DVA,,,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,12/15/1987,,,,,Sovereign,,,,,
3638,Spain,Spain,1997,1997,,1561,26451,,,BAN,Jamuna Bridge Railway Link,SARD,SATC,10/02/1997,,,,,0.00,,6.96,,6.96,Non-DVA,,,Bilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,10/02/1997,,,,,Sovereign,S,,,Adj from $11.4 to $6.96.,
3640,Asian Development Bank,"France,Spain,OFID",1997,1997,,1561/8167,26451,,,BAN,Jamuna Bridge Railway Link,SARD,SATC,10/02/1997,0.00,105.94,0.00,,105.94,,,,,,,,,,ADF,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,S,,,,
3642,Asian Development Bank,Spain,1997,1997,,1599,,,,PHI,Subic Bay Area Municipal Development,SERD,,12/19/1997,22.00,0.00,0.00,,22.00,,,,,,,,,,OCR,3900.0,Multisector,3900,Multisector,,,,,,,,,,,,,,,,
3643,Spain,Spain,1998,1997,,1599,,,,PHI,Subic Bay Area Municipal Development,SERD,,03/02/1998,,,,,0.00,1.00,,,1.00,Non-DVA,,,Bilateral,Grant,,3900.0,Multisector,3900,,,,,,,03/02/1998,,,,,Sovereign,,,,"PCR IN 216-04, 27Sep04.  Sent for storage Jan08",
3645,Asian Development Bank,"Canada,Denmark,U.K.,Ireland,Japan,Netherlands,Spain,EC,World Bank",2005,2005,,2194,,,,VIE,Support to Implementation on Poverty Reduction Program II,SERD,VRM,11/03/2005,0.00,15.00,0.00,,15.00,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,Sustainable Economic Growth,,,,,,,,,,,,,
3646,Spain,Spain,2005,2005,,2194,,,,VIE,Support to Implementation on Poverty Reduction Program II,SERD,VRM,11/03/2005,,,,,0.00,2.40,,,2.40,Non-DVA,,,Bilateral,Grant,ADF,3900.0,Multisector,3900,,,,,,,11/03/2005,,,,,Sovereign,,,,"Agencia Espanola de Cooperacion International, € 2 m.",
3648,Asian Development Bank,"Australia,Canada,Denmark,U.K.,Germany,Ireland,Spain,EC,World Bank",2006,2006,,2262,,,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,0.00,15.00,0.00,,15.00,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,Sustainable Economic Growth,,,,,,,,,,,,,
3649,Agencia Espanola de Cooperacion Internacional,Spain,2006,2006,,2262,,,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,,,,,0.00,3.80,,,3.80,Non-DVA,,,Bilateral,Grant,ADF,3900.0,Multisector,3900,,,,,,,10/05/2006,,,,,Sovereign,,,,Agencia Esponola de Cooperacion Internacional  €3m.,
3651,Asian Development Bank,"Australia,Canada,Denmark,Germany,Spain,Ireland,Netherlands,U.K.,World Bank",2007,2007,,2352,,,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,0.00,15.00,0.00,,15.00,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,,,,,,,,,,,,,,
3652,Agencia Espanola de Cooperacion Internacional,Spain,2007,2007,,2352,,,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,,,,,0.00,7.00,,,7.00,Non-DVA,,,Bilateral,Grant,ADF,3900.0,Multisector,3900,Multisector,,,,,,10/02/2007,,,,,Sovereign,,,,Grants Euro 5m.,
3654,Asian Development Bank,Spain,2008,2008,,2474/0128,38301,,,PRC,Dryland Sustainable Agriculture,EARD,,11/25/2008,83.00,0.00,0.00,,83.00,,,,,,,,,,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,
3655,Spanish Cooperation Fund for Technical Assistance,Spain,2008,2008,0128,2474/0128,38301,,,PRC,Dryland Sustainable Agriculture,EARD,,11/25/2008,,,,,0.00,0.35,,,0.35,DVA,,Full Administration,Bilateral,Grant,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,11/25/2008,05/19/2009,,,,Sovereign,,,, PIGGYBACKED TO PRC-2474; AMOUNT CANCELLED/WITHDRAWN BY SPAIN; GRANT NOT REMOVED FROM APPROVALS DBASE BEC. GRANT WAS SIGNED AND DECLARED EFFECTIVE ,
3658,Asian Development Bank,Sri Lanka,2002,2002,,1910/1911,,,,SRI,Aquatic Resources Development and Quality Improvement,SARD,SAAE,09/05/2002,6.20,13.80,0.00,,20.00,,,,,,,,,,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,
3659,National Development Trust Fund,Sri Lanka,2002,2002,,1910/1911,,,,SRI,Aquatic Resources Development and Quality Improvement,SARD,SAAE,09/05/2002,,,,,0.00,,1.60,,1.60,Non-DVA,,,Bilateral,Loan,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,09/05/2002,,,,,Sovereign,,,,"National Development Trust Fund R149-02, 15Aug02.",
3662,Asian Development Bank,"Germany,Norway,Sweden,EC,NIB,World Bank",1980,1980,,0505,,,,PAK,Load Despatch and Transmission,CWRD,,12/22/1980,0.00,67.00,0.00,,67.00,,,,,,,,,,ADF,3200.0,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
3663,Sida,Sweden,1980,1980,,0505,,,,PAK,Load Despatch and Transmission,CWRD,,12/22/1980,,,,,0.00,,4.30,,4.30,Non-DVA,,,Bilateral,Loan,ADF,3200.0,Energy,,,,,,,,12/22/1980,,,,,Sovereign,,,,cofinancing listed in 1986($4.0)  & 1987 ($0.30),
3665,Asian Development Bank,"Sweden,U.K.,UNDP",1982,1982,,0585,,,,SRI,Technical Education,SARD,,09/30/1982,0.00,16.10,0.00,,16.10,,,,,,,,,,ADF,3100.0,Education,,"Technical education, vocational training, and skills development",,,Inclusive Social and Gender Development,,,,,,,,,,,,,
3666,Sida,Sweden,1982,1982,,0585,,,,SRI,Technical Education,SARD,,09/30/1982,,,,,0.00,,2.93,,2.93,Non-DVA,,,Bilateral,Loan,ADF,3100.0,Education,,,,,,,,09/30/1982,,,,,Sovereign,,,,,
3668,Asian Development Bank,"Sweden,UNDP",1987,1987,,0846,,,,LAO,Xeset Hydropower,SERD,,10/27/1987,0.00,15.50,0.00,,15.50,,,,,,,,,,ADF,3200.0,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
3669,Sida,Sweden,1987,1987,,0846,,,,LAO,Xeset Hydropower,SERD,,10/27/1987,,,,,0.00,,17.04,,17.04,Non-DVA,,,Bilateral,Loan,ADF,3200.0,Energy,,,,,,,,10/27/1987,,,,,Sovereign,,,,,
3671,Asian Development Bank,"Norway,Sweden,UNDP",1990,1990,,1063,,,,LAO,Xeset Hydropower (Supplementary),SERD,,12/11/1990,0.00,3.00,0.00,,3.00,,,,,,,,,,ADF,3200.0,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
3672,Sida,Sweden,1990,1990,,1063,,,,LAO,Xeset Hydropower (Supplementary),SERD,,12/11/1990,,,,,0.00,,6.23,,6.23,Non-DVA,,,Bilateral,Loan,ADF,3200.0,Energy,,,,,,,,12/11/1990,,,,,Sovereign,,,,,
3674,Asian Development Bank,Sweden,1992,1992,,1199,,,,CAM,Special Rehabilitation Assistance,SERD,,11/26/1992,0.00,67.70,0.00,,67.70,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,,,,,,,,,,,,,,
3675,Sida,Sweden,1992,1992,,1199,,,,CAM,Special Rehabilitation Assistance,SERD,,11/26/1992,,,,,0.00,3.20,,,3.20,Non-DVA,,,Bilateral,Grant,ADF,3900.0,Multisector,3900,,,,,,,11/26/1992,,,,,Sovereign,,,,partial loan cancellation 5Aug97.,
3677,Asian Development Bank,"Sweden,Japan,IFAD",1997,1997,,1581/8173/8174,28023,,,BAN,Third Rural Infrastructure Development,SARD,SAAE,11/20/1997,0.00,62.40,0.00,,62.40,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,,,,,,,,,,HS,,,,
3678,Sida,Sweden,1997,1997,8174,1581/8173/8174,28023,,,BAN,Third Rural Infrastructure Development,SARD,SAAE,11/20/1997,,,,,0.00,,7.10,,7.10,DVA,PS,Full Administration,Bilateral,Loan,ADF,3900.0,Multisector,3900,,,,,,,11/20/1997,07/01/1998,,07/01/2005,,Sovereign,HS,,,"Ref 2Feb06 BRM memo. Final cancellation of undisbursed loan amt of SKR1,565,254.82 lcd 26Oct05. Adj $7.2 to 7.1.",
3680,Asian Development Bank,"Japan,Sweden,U.S.A.",1998,1998,,1663/1664/1665,30480,,,PHI,Metro Manila Air Quality Improvement Sector Dev. Program,SERD,SEOC,12/16/1998,271.00,0.00,0.00,,271.00,,,,,,,,,,OCR,3700.0,Transport and ICT,,,,,Environment Sustainability,,,,,,,,,Partly successful,,,,
3681,Sida,Sweden,1998,1998,,1663/1664/1665,,,,PHI,Metro Manila Air Quality Improvement Sector Dev. Program,SERD,SEOC,12/16/1998,,,,,0.00,0.60,,,0.60,Non-DVA,,,Bilateral,Grant,OCR,3700.0,Transport and ICT,,,,,,,,12/16/1998,,,,,Sovereign,Partly successful,,,,
3682,Sida,Sweden,1998,1998,,1663/1664/1665,,,,PHI,Metro Manila Air Quality Improvement Sector Dev. Program,SERD,SEOC,12/16/1998,,,,,0.00,,4.50,,4.50,Non-DVA,,,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,12/16/1998,,,,,Sovereign,Partly successful,,,"ref. R211-98, 25 Nov 98. L1665 (Investment Loan)",
3684,Asian Development Bank,"Japan,Sweden,NDF",1999,1999,,1711,26522,,,SRI,Southern Transport Dev,SARD,SAID,11/25/1999,0.00,90.00,0.00,,90.00,,,,,,,,,,ADF,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
3685,Sida,Sweden,1999,1999,,1711,26522-01,,,SRI,Southern Transport Dev,SARD,SAID,11/25/1999,,,,,0.00,1.00,,,1.00,Non-DVA,,,Bilateral,Grant,ADF,3700.0,Transport and ICT,,,,,,,,11/25/1999,,,,,Sovereign,,,,Road safety consultancy.,
